pair_id,label,method,horizon_ms,block_index,target_frame_index,target_frame_start_sample,target_reference_sample,target_time_s,target_odd_cfo_hz,cutoff_sample,cutoff_time_s,training_cutoff_frame_start_sample,training_stop_reference_sample,training_stop_time_s,last_training_age_ms,actual_forecast_s,selected_history_ms,cfo_hz_at_cutoff,rate_hz_s,prediction_hz,prediction_sigma_hz,odd_residual_hz
D1:124951941:312500samples,D1,fixed_125ms,125.0,49,735,124951941,124953613,49.9814452,-192275.066392,124641113,49.8564452,124638607,124640279,49.8561116,0.3336,0.1253336,125.0,-191801.72779354328,-3600.311856972453,-192252.96783970032,29.92336592888478,-22.09855229969253
D1:124951941:312500samples,D1,fixed_500ms,125.0,49,735,124951941,124953613,49.9814452,-192275.066392,124641113,49.8564452,124638607,124640279,49.8561116,0.3336,0.1253336,500.0,-191813.11743026113,-3736.918591762677,-192281.4788902737,8.182364983087188,6.412498273683013
D1:124951941:312500samples,D1,adaptive_75_500ms,125.0,49,735,124951941,124953613,49.9814452,-192275.066392,124641113,49.8564452,124638607,124640279,49.8561116,0.3336,0.1253336,500.0,-191813.11743026113,-3736.918591762677,-192281.4788902737,8.182364983087188,6.412498273683013
D1:125001941:312500samples,D1,fixed_125ms,125.0,50,750,125001941,125003613,50.0014452,-192331.646073,124691113,49.8764452,124681941,124683613,49.8734452,3.0,0.128,125.0,-191866.5956175721,-3682.5518417268645,-192337.96225331313,31.52213026964411,6.316180313122459
D1:125001941:312500samples,D1,fixed_500ms,125.0,50,750,125001941,125003613,50.0014452,-192331.646073,124691113,49.8764452,124681941,124683613,49.8734452,3.0,0.128,500.0,-191874.16873357934,-3721.657933276083,-192350.54094903867,8.24972040671734,18.89487603865564
D1:125001941:312500samples,D1,adaptive_75_500ms,125.0,50,750,125001941,125003613,50.0014452,-192331.646073,124691113,49.8764452,124681941,124683613,49.8734452,3.0,0.128,500.0,-191874.16873357934,-3721.657933276083,-192350.54094903867,8.24972040671734,18.89487603865564
D1:125051941:312500samples,D1,fixed_125ms,125.0,50,765,125051941,125053613,50.0214452,-192393.085674,124741113,49.8964452,124735274,124736946,49.8947784,1.6668,0.1266668,125.0,-191946.8966477464,-3720.401054532757,-192418.1479440407,31.246650137819522,25.062270040711155
D1:125051941:312500samples,D1,fixed_500ms,125.0,50,765,125051941,125053613,50.0214452,-192393.085674,124741113,49.8964452,124735274,124736946,49.8947784,1.6668,0.1266668,500.0,-191953.167549178,-3722.878357602804,-192424.7326375248,8.307669191103608,31.64696352480678
D1:125051941:312500samples,D1,adaptive_75_500ms,125.0,50,765,125051941,125053613,50.0214452,-192393.085674,124741113,49.8964452,124735274,124736946,49.8947784,1.6668,0.1266668,500.0,-191953.167549178,-3722.878357602804,-192424.7326375248,8.307669191103608,31.64696352480678
D1:125101941:312500samples,D1,fixed_125ms,125.0,50,780,125101941,125103613,50.0414452,-192504.056781,124791113,49.9164452,124788607,124790279,49.9161116,0.3336,0.1253336,125.0,-192038.36408539754,-3853.622406796127,-192521.35245468197,30.126528812348635,17.29567368197604
