beam_category,channel,confirmatory_after_prior_freeze,edge,evaluation_rms_ratio_rank2_over_rank1,identity_evidence_use,paired_points,pass_key,profile_rms_contrast,rank1_beam_rms_db,rank1_catalog_number,rank1_evaluation_rms_hz,rank1_training_rms_hz,rank2_beam_rms_db,rank2_catalog_number,rank2_evaluation_rms_hz,rank2_training_rms_hz,reason,receiver_id,reject_identity_on_missing_detection,reject_identity_on_response_mismatch,session_id,state,stratum,tracklet_id,visibility_status
,4,False,lower,3.955703004299846,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:66975,1.0595590279407756,,66975,135.8812350072564,101.9685351755905,,45369,537.5058095461776,637.0267490785786,fewer-than-three-paired-points,0,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:dc99b8176f189c0f8b2a1294eb277a974af258088b7caa9719442f19ae2cb9fb,unobstructed-visibility-unknown
corroborates-rank-1,4,False,lower,30.090466648426776,descriptive-response-consistency-only,10,scan-hop-01b11a5d776e7369:59554,2.7101908036694287,1.0246109628329048,59554,57.54033531774962,57.548455548985224,1.8575380080127353,68115,1731.4155408180384,2048.0631568684294,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:e1c5b1ef792aac8c4785159322880ffaf2ac164339c8e5b98d9caf21c0a69d8b,unobstructed-visibility-unknown
,4,False,lower,1.8637942020084104,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67175,0.28041641949845914,,67175,66.09687819893989,51.287702919031005,,67870,123.19097835804027,168.59633283714342,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,intermediate-1.5-to-3,sha256:e1d699de2c58da3a367e223c28144d9a0e21c28fa2343275e97f6f1e141c2be5,unobstructed-visibility-unknown
,2,False,lower,6.525778522865868,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:62478,1.4096829130821116,,62478,78.14284308194891,75.9666743986435,,52452,509.94288709985983,653.3109108347402,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:f0d2650a59965dfb0c98a4bdae01cf05da611ec6e5d560896b6bd7521c84de8b,unobstructed-visibility-unknown
,2,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:f646e4d5d2dc71d9dc85946c7a66a69679f72562d9b01ab879ef649ccd50bfb2,,,,,,,,,,fewer-than-two-candidates,1,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:f646e4d5d2dc71d9dc85946c7a66a69679f72562d9b01ab879ef649ccd50bfb2,unobstructed-visibility-unknown
,1,False,upper,0.24522254077320652,descriptive-response-consistency-only,0,scan-hop-04659e64a57981df:67816,-0.3173758880942961,,67816,194.16229191802398,82.24814377493887,,53404,47.612970546486864,92.31758033936349,fewer-than-three-paired-points,0,False,False,scan-hop-04659e64a57981df,unsupported,weak-less-than-1.5,sha256:0c75b3ec641788c1be04535160af476ea9f7d506fbd7324b706af07e9c60c310,unobstructed-visibility-unknown
,4,False,upper,1.3447640153276446,descriptive-response-consistency-only,0,scan-hop-04659e64a57981df:66062,0.16973213816570087,,66062,143.47160222640736,133.72733600488777,,60060,192.93544789547417,221.91281702509994,fewer-than-three-paired-points,0,False,False,scan-hop-04659e64a57981df,unsupported,weak-less-than-1.5,sha256:12187aa5bd1e3fe16444f8124016565151139372371517af70a14eb4ad2e79c7,unobstructed-visibility-unknown
,1,False,upper,12.846144428959088,descriptive-response-consistency-only,0,scan-hop-04659e64a57981df:100417,1.9872816102848114,,100417,68.34909139653995,85.96403211370759,,100449,878.0222996680772,1006.2073708929727,fewer-than-three-paired-points,1,False,False,scan-hop-04659e64a57981df,unsupported,clear-at-least-3,sha256:29af0ac67dbd3eddfc304cd5d3dec537aaced3b7e304ed70ec993b4d575e1814,unobstructed-visibility-unknown
orientation-calibration-uncertain,1,False,upper,5.106882036661784,descriptive-response-consistency-only,7,scan-hop-04659e64a57981df:66599,1.2671118025484776,1.4113531334845921,66599,92.81354091134266,60.5357183008422,0.45004288466055437,64762,473.9878048391094,296.38434716263754,,1,False,False,scan-hop-04659e64a57981df,scored,clear-at-least-3,sha256:2d70b07059c12308c85252720c99c4b6539a6d7c2a21ba2adc2fbb031b1c89d5,unobstructed-visibility-unknown
corroborates-rank-1,4,False,upper,4.5279179384895185,descriptive-response-consistency-only,25,scan-hop-04659e64a57981df:66066,1.1875003368412198,0.816069607439766,66066,143.7740265156237,111.12523476490529,2.5006723439915746,55986,650.9969937489602,645.411841116624,,0,False,False,scan-hop-04659e64a57981df,scored,clear-at-least-3,sha256:32fc0859428373200032dc4b85c5d0b1ccd25ba13e7794f50564538a566bf731,unobstructed-visibility-unknown
