scenario_id,estimator,history_s,frame_start_sample,reference_time_s,status,selected_history_s,estimate_rate_hz_s,rate_sigma_hz_s,receiver_truth_rate_hz_s,physical_truth_rate_hz_s,receiver_error_hz_s,physical_error_hz_s,receiver_covered_95,physical_covered_95,receiver_failure,physical_failure,step_phase,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm
P008,causal_20ms_linear,0.02,90933333,0.374002,warmup,,,,5557.9826244006,5557.9826244006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90983333,0.394002,warmup,,,,5570.2866364006,5570.2866364006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,90986667,0.3953356,warmup,,,,5571.1113354941035,5571.1113354941035,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,91073333,0.43000200000000005,warmup,,,,5592.736258000599,5592.736258000599,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,91133333,0.454002,warmup,,,,5607.9186724006,5607.9186724006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,91350000,0.5406688000000001,warmup,,,,5664.182812694015,5664.182812694015,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,91560000,0.6246688,warmup,,,,5720.866066454016,5720.866066454016,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,91910000,0.7646688,warmup,,,,5820.042156054015,5820.042156054015,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,92163333,0.866002,warmup,,,,5895.4949196006,5895.4949196006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,92500000,1.0006688,warmup,,,,6000.535107094016,6000.535107094016,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
