left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_absolute_cfo_hz,left_rx1_candidate_rank,right_rx0_absolute_cfo_hz,right_rx0_candidate_rank,right_rx1_absolute_cfo_hz,right_rx1_candidate_rank
1645,1646,4,1,298,evaluation,494375385623,494376585623,494376591077,494377791077,5454,True,66462.95130528635,0,748501.9028296494,0,65994.22647112387,1,713903.1338484741,0
1647,1648,5,2,299,evaluation,494377995446,494379195446,494379199818,494380399818,4372,True,64698.138680187985,0,746733.3412953082,0,64221.42007281515,1,746301.5296544045,1
1664,1665,4,1,300,evaluation,494401662763,494402862763,494402870186,494404070186,7423,True,56519.456876610784,2,705150.9873510492,0,56078.741740261,0,738076.5170572831,0
1668,1669,5,2,301,evaluation,494407076824,494408276824,494408277770,494409477770,946,True,53483.07909394955,0,735514.1893038927,0,53024.90667759962,0,735036.6732215744,0
1670,1671,4,1,302,evaluation,494409683396,494410883396,494410885344,494412085344,1948,True,53441.44240403816,0,735538.0449358919,1,52991.709918220644,0,735093.1321882425,0
1671,1672,4,1,302,evaluation,494410885344,494412085344,494412087453,494413287453,2109,True,52991.709918220644,0,735093.1321882425,0,52533.81165966147,0,735137.4484867335,0
1676,1677,4,1,303,evaluation,494417952617,494419152617,494419153154,494420353154,537,True,84021.60782602284,0,766067.6698271926,0,83557.14821803849,0,765648.0935314335,0
1677,1678,4,1,303,evaluation,494419153154,494420353154,494420355402,494421555402,2248,True,83557.14821803849,0,765648.0935314335,0,83157.55696187765,0,765249.3415964749,0
1680,1681,6,3,304,evaluation,494423167835,494424367835,494424375182,494425575182,7347,False,,,,,,,,
1687,1688,7,4,305,evaluation,494432797232,494433997232,494434005056,494435205056,7824,False,41302.27210563829,0,,,40768.529967120965,0,722877.6898272063,0
1689,1690,6,3,306,evaluation,494435411504,494436611504,494436613016,494437813016,1512,False,,,,,,,,
1691,1692,7,4,307,evaluation,494438017406,494439217406,494439220413,494440420413,3007,False,39164.498250899196,1,,,38692.67283819651,1,720772.2467686585,0
1692,1693,7,4,307,evaluation,494439220413,494440420413,494440423082,494441623082,2669,True,38692.67283819651,1,720772.2467686585,0,38263.98517008207,0,720338.483926742,0
1703,1704,5,2,308,evaluation,494454461167,494455661167,494455665345,494456865345,4178,True,35535.92727388715,0,717616.3608837596,0,35077.69800992246,0,717161.2806902115,0
1704,1705,5,2,308,evaluation,494455665345,494456865345,494456867460,494458067460,2115,True,35077.69800992246,0,717161.2806902115,0,34619.31784622482,0,716737.9586201733,0
1706,1707,4,1,309,evaluation,494458270843,494459470843,494459475801,494460675801,4958,True,35544.420915272145,0,717634.6422334447,2,35163.865985758835,0,717211.439639213,0
1709,1710,4,1,310,evaluation,494462287819,494463487819,494463493416,494464693416,5597,True,34111.64667632588,0,716222.0201520631,0,33700.30847163708,0,715800.1228608771,0
1714,1715,7,4,311,evaluation,494469112655,494470312655,494470314924,494471514924,2269,False,27090.106308388757,0,709237.2121142081,0,26674.73284094181,1,,
1715,1716,7,4,311,evaluation,494470314924,494471514924,494471517101,494472717101,2177,False,26674.73284094181,1,,,26185.277811033535,0,,
1717,1718,4,1,312,evaluation,494472921103,494474121103,494474125202,494475325202,4099,True,30272.66887871077,1,681879.8794590025,0,29878.67335682042,2,681458.3073520227,0
1720,1721,6,3,313,evaluation,494476926487,494478126487,494478127175,494479327175,688,False,,,,,,,,
1721,1722,6,3,313,evaluation,494478127175,494479327175,494479330485,494480530485,3310,False,,,,,,,,
1726,1727,4,1,314,evaluation,494484946934,494486146934,494486151984,494487351984,5050,True,26137.213427110284,2,678092.5887054875,0,25703.349307958793,1,741838.3892206827,0
1729,1730,4,1,315,evaluation,494488955704,494490155704,494490162123,494491362123,6419,True,24755.000666920212,0,740867.3585768952,0,24325.209657087573,0,740431.7442363317,0
