case_id,partition,group_id,view,scan_count,prior,model,status,latitude_deg,longitude_deg,tau_s,reference_error_km,training_capped_loss,held_capped_rms_hz,held_uncapped_supported_rms_hz,track_count,occupied_second_weight,assignment_changes_from_baseline,global_tau_boundary,paired_inference_runtime_s
validation_20260921_08_16,validation,20260921_08,16,16,sacramento,baseline,completed,37.86837097456688,-122.41332616427121,0.0,6.704003813675307,0.12139615672961984,285.3488200241245,389.0940599657467,704,13010,,False,771.8052391660167
validation_20260921_08_16,validation,20260921_08,16,16,sacramento,shared_time,completed,37.87539577596466,-122.44002743367687,-0.5500000000000004,4.963570158744579,0.11663467549963621,280.92639144273335,386.3513088239251,704,13010,33,False,771.8052391660167
validation_20260921_08_all,validation,20260921_08,all,80,reno,baseline,completed,37.86479154630907,-122.4236117675283,0.0,5.721855145057397,0.12508240164576018,296.0416379587105,460.9336868209907,3442,64648,,False,2718.825117822038
validation_20260921_08_all,validation,20260921_08,all,80,reno,shared_time,completed,37.870408587533326,-122.46455116502511,-0.7499999999999998,3.0136238560679307,0.11597953913016194,285.82062242746076,450.2571224317789,3442,64648,204,False,2718.825117822038
validation_20260921_08_all,validation,20260921_08,all,80,sacramento,baseline,completed,37.86477036500168,-122.42440586066566,0.0,5.654800338475132,0.125085728585934,296.03815880104344,460.9555287795332,3442,64648,,False,2761.662037500995
validation_20260921_08_all,validation,20260921_08,all,80,sacramento,shared_time,completed,37.87038740622875,-122.46534524639473,-0.7499999999999998,2.9693928426641265,0.11588976688314581,285.70849682143086,450.2021661775914,3442,64648,203,False,2761.662037500995
test_20260922_00_1,test,20260922_00,1,1,reno,baseline,completed,41.893097417779174,-115.9674739047548,0.0,714.9207020134652,0.18260579103297447,371.4673426374719,379.47766426667414,49,857,,False,34.920369888073765
test_20260922_00_1,test,20260922_00,1,1,reno,shared_time,completed,41.89169116318608,-115.98823838647814,-0.30000000000000027,713.4518304189215,0.1812348816771412,370.1181446344279,378.0408082994057,49,857,0,False,34.920369888073765
test_20260922_00_1,test,20260922_00,1,1,sacramento,baseline,completed,37.901759130969296,-122.4115190070319,0.0,8.758679140560377,0.05971161590811984,203.8454858520445,217.1503420168036,49,857,,False,24.05542787304148
test_20260922_00_1,test,20260922_00,1,1,sacramento,shared_time,completed,37.901759130969296,-122.4115190070319,0.0,8.758679140560377,0.05971161590811984,203.8454858520445,217.1503420168036,49,857,0,False,24.05542787304148
test_20260922_00_6,test,20260922_00,6,6,reno,baseline,completed,37.90581685878482,-122.39613695444743,0.0,10.079598951710313,0.06317081349570279,217.39944683315272,222.821833136618,197,3349,,False,212.73675548192114
test_20260922_00_6,test,20260922_00,6,6,reno,shared_time,completed,37.90441053027563,-122.42285078693553,-0.40000000000000024,8.26455210108507,0.060387925865917964,212.7903466843326,218.64957103031492,197,3349,1,False,212.73675548192114
test_20260922_00_6,test,20260922_00,6,6,sacramento,baseline,completed,37.90714929018847,-122.3960027669993,0.0,10.182109417587801,0.06317030950060251,217.37262373280316,222.7990999137464,197,3349,,False,167.13012963405345
test_20260922_00_6,test,20260922_00,6,6,sacramento,shared_time,completed,37.90433777356039,-122.42271691317917,-0.40000000000000024,8.266375232894633,0.060397257395547056,212.8032314958035,218.65819249212888,197,3349,1,False,167.13012963405345
test_20260922_00_16,test,20260922_00,16,16,reno,baseline,completed,37.87898557281269,-122.41744328929033,0.0,6.851862415599935,0.08050483506222178,250.47346010621862,299.5326837181708,617,10502,,False,599.1828594369581
test_20260922_00_16,test,20260922_00,16,16,reno,shared_time,completed,37.87476886927273,-122.43702635356954,-0.3500000000000003,5.139385259595436,0.07810451874163447,246.85067870014433,295.0393072490973,617,10502,15,False,599.1828594369581
test_20260922_00_16,test,20260922_00,16,16,sacramento,baseline,completed,37.87887404160939,-122.4179086773188,0.0,6.810141157706384,0.08050313992515176,250.4882582806737,299.49956713324013,617,10502,,False,629.4282602780731
test_20260922_00_16,test,20260922_00,16,16,sacramento,shared_time,completed,37.874657338074016,-122.43749171194469,-0.3500000000000003,5.098564036049264,0.07807282592912149,247.04022166327476,295.15315164795527,617,10502,14,False,629.4282602780731
test_20260922_00_all,test,20260922_00,all,64,reno,baseline,input_failure,,,,,,,,,,,,
test_20260922_00_all,test,20260922_00,all,64,reno,shared_time,input_failure,,,,,,,,,,,,
test_20260922_00_all,test,20260922_00,all,64,sacramento,baseline,input_failure,,,,,,,,,,,,
test_20260922_00_all,test,20260922_00,all,64,sacramento,shared_time,input_failure,,,,,,,,,,,,
