visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
2164,5,2,upper,0,0,3,13087,-1.2574075658133828,99055.15975285746,91441.76136363864,190496.9211164961,312500.0,-122003.07888350391,105269.64838922335,-1,0.04145438229915944,0.042060491262180304,-0.0006061089630208655,False,495077371614
2164,5,2,upper,0,0,5,3707,-0.2295776058222618,132016.0162087747,15980.113636364034,147996.12984513873,312500.0,-164503.87015486127,62768.85711786599,-1,0.03650760904186252,0.032532380416477207,0.00397522862538531,False,495077362234
2164,5,2,upper,0,0,6,5226,-1.2842291973913902,991566.9001322935,15980.113636364034,1007547.0137686575,312500.0,695047.0137686575,13228.831950475695,3,0.04196886509420647,0.037995297771448625,0.0039735673227578455,False,495077363753
2164,5,2,upper,0,0,7,7160,-1.4392237522744145,456470.43105559517,-48828.125000001215,407642.30605559394,312500.0,95142.30605559394,95142.30605559394,0,0.03579731028048625,0.03408287158360088,0.0017144386968853745,False,495077365687
2164,5,2,upper,1,0,0,9788,0.9937260203162033,2717.5541973501095,103426.84659091166,106144.40078826177,312500.0,-206355.5992117382,20917.128060989053,-1,0.039116123595212555,0.03384585290090093,0.005270270694311623,False,495077368315
2164,5,2,upper,1,0,3,1853,-0.6510427631847998,469359.20714516984,1331.6761363636697,470690.8832815335,312500.0,158190.8832815335,-69081.84399119377,1,0.03757216922670611,0.036609732229713025,0.0009624369969930824,False,495077360380
2164,5,2,upper,1,0,4,8637,0.1341924530805088,149461.9990909298,-75017.75568182005,74444.24340910975,312500.0,-238055.75659089023,-10783.029318162968,-1,0.03579584921024895,0.03338976262195744,0.0024060865882915075,False,495077367164
2164,5,2,upper,1,0,5,10834,0.5551476425032004,942169.7217423451,-60813.21022727424,881356.5115150709,312500.0,568856.5115150709,-112961.67030311085,3,0.03914186061471725,0.03688502374962896,0.002256836865088291,False,495077369361
2165,6,3,upper,0,0,2,3049,0.6655667997160369,367492.4844714855,-23526.278409091497,343966.20606239396,312500.0,31466.20606239396,31466.20606239396,0,0.046166436523944525,0.03545070534904415,0.010715731174900378,False,495078765614
2165,6,3,upper,0,0,3,10175,-0.9984578810489587,1034110.2567270648,70134.94318181994,1104245.1999088847,312500.0,791745.1999088847,109927.01809070294,3,0.03921634202090613,0.03991483898988518,-0.0006984969689790496,False,495078772740
