analysis_elapsed_seconds,analyzed_segments,bundle_bytes,burst_id,capture_elapsed_seconds,fallback_window_segments,position,preferred_window_segments,qualified_fraction,qualified_segments,scan_id,status,unavailable_segments
16.63718808197882,9,6508508,scan-burst-e0613b9ea4bd42df,1.8957881839887705,2,3,7,0.1111111111111111,1,scan-burst-e0613b9ea4bd42df-03,partial,0
12.799514632992214,8,6250325,scan-burst-e0613b9ea4bd42df,1.9003457340004388,0,4,8,0.0,0,scan-burst-e0613b9ea4bd42df-04,insufficient_data,0
10.415781613992294,5,5846024,scan-burst-531f6ddad9014d1c,1.8159754869993776,1,1,4,0.4,2,scan-burst-531f6ddad9014d1c-01,partial,0
10.306777439021971,4,5711962,scan-burst-531f6ddad9014d1c,1.9202174079837278,1,2,3,0.5,2,scan-burst-531f6ddad9014d1c-02,partial,1
10.341644571017241,6,6103845,scan-burst-531f6ddad9014d1c,1.871233037993079,0,3,6,0.5,3,scan-burst-531f6ddad9014d1c-03,partial,0
10.233206249016803,4,5806529,scan-burst-531f6ddad9014d1c,1.8847954079974443,0,4,4,0.75,3,scan-burst-531f6ddad9014d1c-04,partial,0
10.182906478992663,1,5418935,scan-burst-9d1f6e74c129419f,1.9138862999971025,0,1,1,0.0,0,scan-burst-9d1f6e74c129419f-01,insufficient_data,0
10.467534577008337,3,5579404,scan-burst-9d1f6e74c129419f,1.9373643549915869,1,2,2,0.0,0,scan-burst-9d1f6e74c129419f-02,insufficient_data,0
10.296298967004986,1,5537331,scan-burst-9d1f6e74c129419f,1.8952505759953056,0,3,1,0.0,0,scan-burst-9d1f6e74c129419f-03,insufficient_data,0
10.35822371399263,2,5586191,scan-burst-9d1f6e74c129419f,1.9095548950135708,0,4,2,0.5,1,scan-burst-9d1f6e74c129419f-04,partial,0
11.01330923801288,9,6471916,scan-burst-f965d80dbe67470f,1.9273305020178668,0,1,9,0.3333333333333333,3,scan-burst-f965d80dbe67470f-01,partial,0
11.126572228007717,10,6528830,scan-burst-f965d80dbe67470f,1.9259513180004433,0,2,10,0.4,4,scan-burst-f965d80dbe67470f-02,partial,0
10.70847031500307,10,6603097,scan-burst-f965d80dbe67470f,1.897672231978504,0,3,10,0.1,1,scan-burst-f965d80dbe67470f-03,partial,0
11.13225837200298,10,6542127,scan-burst-f965d80dbe67470f,1.9150545009761117,0,4,10,0.1,1,scan-burst-f965d80dbe67470f-04,partial,0
10.883117716002744,4,5942959,scan-burst-c1d6254e57ac4979,1.909109325002646,0,1,4,0.0,0,scan-burst-c1d6254e57ac4979-01,insufficient_data,0
11.039479810016928,4,5980548,scan-burst-c1d6254e57ac4979,1.872622793976916,0,2,4,0.0,0,scan-burst-c1d6254e57ac4979-02,insufficient_data,0
10.682680888014147,4,5943906,scan-burst-c1d6254e57ac4979,1.8507951369974762,0,3,4,0.0,0,scan-burst-c1d6254e57ac4979-03,insufficient_data,0
10.508664621011121,4,5937749,scan-burst-c1d6254e57ac4979,1.8944391410041135,0,4,4,0.0,0,scan-burst-c1d6254e57ac4979-04,insufficient_data,0
10.991743674996542,8,6267713,scan-burst-58c6b079bfea47be,1.8281575379951391,1,1,7,0.25,2,scan-burst-58c6b079bfea47be-01,partial,0
10.830137860000832,7,6139057,scan-burst-58c6b079bfea47be,1.8769824570044875,0,2,7,0.14285714285714285,1,scan-burst-58c6b079bfea47be-02,partial,0
10.9511647450272,10,6420004,scan-burst-58c6b079bfea47be,1.8912799439858645,0,3,10,0.2,2,scan-burst-58c6b079bfea47be-03,partial,0
10.858407119987532,9,6260351,scan-burst-58c6b079bfea47be,1.8946387220057659,0,4,9,0.2222222222222222,2,scan-burst-58c6b079bfea47be-04,partial,0
11.266699134983355,4,5805401,scan-burst-97a27c082fe64f4a,1.8219498319958802,0,1,4,0.0,0,scan-burst-97a27c082fe64f4a-01,insufficient_data,0
10.737385824002558,4,5949129,scan-burst-97a27c082fe64f4a,1.8170583079918288,0,2,4,0.0,0,scan-burst-97a27c082fe64f4a-02,insufficient_data,0
10.558766658999957,4,5968846,scan-burst-97a27c082fe64f4a,1.9016972469980828,0,3,4,0.0,0,scan-burst-97a27c082fe64f4a-03,insufficient_data,0
10.37431001701043,4,5949418,scan-burst-97a27c082fe64f4a,1.863123782997718,0,4,4,0.0,0,scan-burst-97a27c082fe64f4a-04,insufficient_data,0
10.44674256700091,5,5675635,scan-burst-042cdfaad08d4037,1.9054440050094854,0,1,5,0.4,2,scan-burst-042cdfaad08d4037-01,partial,0
10.510957169986796,5,5865823,scan-burst-042cdfaad08d4037,1.889375423983438,0,2,5,0.6,3,scan-burst-042cdfaad08d4037-02,partial,0
10.525318713014713,5,5690273,scan-burst-042cdfaad08d4037,1.9044913949910551,0,3,5,0.8,4,scan-burst-042cdfaad08d4037-03,partial,0
10.751027135003824,5,5747712,scan-burst-042cdfaad08d4037,1.894741474010516,1,4,4,1.0,5,scan-burst-042cdfaad08d4037-04,complete,0
10.88548881400493,6,6140995,scan-burst-edf682443764427d,1.8499822090088855,1,1,5,0.0,0,scan-burst-edf682443764427d-01,insufficient_data,0
10.69011065698578,4,5885947,scan-burst-edf682443764427d,1.9155770249781199,0,2,4,0.0,0,scan-burst-edf682443764427d-02,insufficient_data,0
10.328007524978602,4,5890931,scan-burst-edf682443764427d,1.848939537012484,0,3,4,0.0,0,scan-burst-edf682443764427d-03,insufficient_data,0
10.41563230799511,4,5945609,scan-burst-edf682443764427d,1.909291543008294,0,4,4,0.0,0,scan-burst-edf682443764427d-04,insufficient_data,0
11.137102081993362,10,6555046,scan-burst-85911e6c1bac4a71,2.032411019987194,0,1,10,0.2,2,scan-burst-85911e6c1bac4a71-01,partial,0
11.070590749994153,12,6762687,scan-burst-85911e6c1bac4a71,1.9676448079990223,0,2,12,0.16666666666666666,2,scan-burst-85911e6c1bac4a71-02,partial,0
10.837833030993352,11,6554359,scan-burst-85911e6c1bac4a71,1.8716937950230204,1,3,10,0.18181818181818182,2,scan-burst-85911e6c1bac4a71-03,partial,0
10.748231155012036,11,6559889,scan-burst-85911e6c1bac4a71,1.8853623080067337,0,4,11,0.0,0,scan-burst-85911e6c1bac4a71-04,insufficient_data,0
11.038341027975548,6,6073590,scan-burst-606b7ab0f7684002,1.8925019080052152,2,1,4,0.5,3,scan-burst-606b7ab0f7684002-01,partial,0
10.905786955991061,10,6686873,scan-burst-606b7ab0f7684002,1.9028533450036775,0,2,10,0.0,0,scan-burst-606b7ab0f7684002-02,insufficient_data,0
10.704828510992229,8,6325797,scan-burst-606b7ab0f7684002,1.9155994089960586,1,3,7,0.125,1,scan-burst-606b7ab0f7684002-03,partial,0
10.979721928975778,9,6399395,scan-burst-606b7ab0f7684002,1.8943111459957436,0,4,9,0.1111111111111111,1,scan-burst-606b7ab0f7684002-04,partial,0
11.79034440999385,7,6314061,scan-burst-62e414cde4024a18,1.9349352350109257,0,1,7,0.0,0,scan-burst-62e414cde4024a18-01,insufficient_data,0
14.860358863021247,9,6377408,scan-burst-62e414cde4024a18,1.8651284179941285,1,2,8,0.1111111111111111,1,scan-burst-62e414cde4024a18-02,partial,0
15.663010631978977,7,6156741,scan-burst-62e414cde4024a18,1.8700437040242832,0,3,7,0.42857142857142855,3,scan-burst-62e414cde4024a18-03,partial,0
13.35637847398175,7,6169775,scan-burst-62e414cde4024a18,1.8937058949959464,0,4,7,0.42857142857142855,3,scan-burst-62e414cde4024a18-04,partial,0
10.63297346100444,5,5773251,scan-burst-1790f02d013b4e56,1.8928552900033537,0,1,5,0.4,2,scan-burst-1790f02d013b4e56-01,partial,0
10.909477517008781,6,5911453,scan-burst-1790f02d013b4e56,1.863102427974809,1,2,5,0.8333333333333334,5,scan-burst-1790f02d013b4e56-02,partial,0
10.697493983985623,4,5772559,scan-burst-1790f02d013b4e56,1.8643446619971655,0,3,4,0.5,2,scan-burst-1790f02d013b4e56-03,partial,0
10.97664999900735,4,5818156,scan-burst-1790f02d013b4e56,1.868701981002232,0,4,4,0.25,1,scan-burst-1790f02d013b4e56-04,partial,0
11.895579418021953,10,6126540,scan-burst-1d7f35e8242a4b12,1.9288654589909129,1,1,9,0.4,4,scan-burst-1d7f35e8242a4b12-01,partial,0
