absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,registry_status,session_id,track_count
3140,0.9570252971654983,2007,3024404,3281,complete,272791440.7670358,0.18844979097108133,0.6373056994818653,stream-1 · RX0,2007,0.6117037488570558,complete,cap-20260823T094800-8799dba1652a,9
14554,0.5554749818709209,17328,24146623,26201,complete,12084514.821608745,0.14730921955745743,0.6920342723698795,stream-0 · RX0,17328,0.6613488034807832,partial_coverage,cap-20260823T094800-8799dba1652a,14
10498,0.49659413434247873,13744,19538447,21140,complete,6583814.492294361,0.157173643739552,0.6595092024539877,stream-0 · RX1,13744,0.6501419110690634,partial_coverage,cap-20260823T094800-8799dba1652a,11
18259,0.46221805938789456,27023,36520779,39503,partial,13455680.957480958,0.15907869332225083,0.6237549726318308,stream-1 · RX1,27023,0.6840746272435005,partial_coverage,cap-20260823T095458-7d2412e2ff8f,16
14538,0.476374598597549,20675,28134903,30518,complete,13508923.567532104,0.16056584673788618,0.6226415094339622,stream-1 · RX0,20675,0.6774690346680647,partial_coverage,cap-20260823T095458-7d2412e2ff8f,15
14373,0.41002453357676727,24695,32319711,35054,complete,17595412.191330284,0.15367854174278883,0.6417346034270042,stream-0 · RX0,24695,0.7044845096137388,partial_coverage,cap-20260823T095458-7d2412e2ff8f,16
22177,0.5329088069205815,27437,38476859,41615,partial,20237006.450370286,0.15993615345556444,0.6143010360671032,stream-0 · RX1,27437,0.6593055388681965,partial_coverage,cap-20260823T095458-7d2412e2ff8f,16
10241,0.6523760988660976,9854,14504467,15698,complete,11766312.111425193,0.16883712129310346,0.580952380952381,stream-0 · RX1,9854,0.6277232768505542,complete,cap-20260823T095749-8569a833587a,11
8629,0.4906186035933591,11635,16215114,17588,complete,6573693.491880435,0.15051601940995124,0.6671415004748338,stream-1 · RX0,11635,0.6615305890379805,complete,cap-20260823T095749-8569a833587a,6
18925,0.5082856605699245,24827,34421341,37233,partial,10502009.719654227,0.15668671705085302,0.6398882414462872,stream-1 · RX1,24827,0.6668009561410576,partial_coverage,cap-20260823T095749-8569a833587a,16
