session_id,visit_index,band,windows,linear_fit_rms_ns,alternating_validation_rms_ns
scan-hop-cf54d8096b706750,376,native10,90,1022.282600884441,1010.7573418898783
scan-hop-cf54d8096b706750,1616,native10,90,925.0300675620294,1041.8722940150824
scan-hop-cf54d8096b706750,2319,native10,90,932.4603899252182,1059.8728737159943
scan-hop-339720f8f00ad239,1057,native10,90,1069.4523547489387,1121.6464454328798
scan-hop-339720f8f00ad239,1860,native10,90,1094.3813505131777,1080.6502400597258
scan-hop-339720f8f00ad239,2123,native10,90,937.2698272910849,983.5192466953957
scan-hop-339720f8f00ad239,2123,derived2p5,90,995.5545659108055,1114.1141232038842
scan-hop-6692a1700f427025,1023,native10,90,963.7833481048355,1043.171769344708
scan-hop-6692a1700f427025,1023,derived2p5,90,1086.6131936674508,1040.315068590908
scan-hop-6692a1700f427025,1802,native10,90,949.639286193037,910.9677586703004
scan-hop-6692a1700f427025,1802,derived2p5,90,1101.6147007093577,1213.7908441545765
scan-hop-5cfe222fca9b6f0e,823,native10,90,977.5972809024931,978.9779303350355
scan-hop-5cfe222fca9b6f0e,1206,native10,90,1003.648853579491,976.4193562009103
scan-hop-5cfe222fca9b6f0e,1206,derived2p5,90,1233.2905238768226,1318.0783100304548
scan-hop-5cfe222fca9b6f0e,1736,native10,90,879.1368932931463,979.5751606044961
scan-hop-5cfe222fca9b6f0e,1809,native10,90,846.4137622135509,869.8494583020951
scan-hop-5cfe222fca9b6f0e,1809,derived2p5,89,1060.7094486826943,1194.487498434462
scan-hop-dd2937728dab2d65,1019,native10,90,1035.8170563699978,1107.6505047674066
scan-hop-dd2937728dab2d65,1713,native10,90,1031.5410966731279,1065.015268638754
scan-hop-dd2937728dab2d65,2300,native10,90,1057.86252356166,1012.6196358177993
scan-hop-78bfff64757c1fbd,2195,native10,90,1060.4300926009532,1089.33868622292
scan-hop-7560d96129525ada,963,native10,90,1048.9233434163373,1101.2075502936248
scan-hop-7560d96129525ada,1830,native10,90,1101.1524386259487,1214.1857953323965
scan-hop-7560d96129525ada,1917,native10,90,1071.5415104073243,1143.862014740965
scan-hop-7560d96129525ada,1931,native10,90,929.2224223872973,893.0410156528617
scan-hop-4d85ec3c4f985f42,369,native10,90,1002.6488867843066,1090.623355132219
scan-hop-4d85ec3c4f985f42,369,derived2p5,90,1193.5688884596238,1193.3858184243427
scan-hop-4d85ec3c4f985f42,2249,native10,90,971.3231025163759,977.1279928490711
scan-hop-4d85ec3c4f985f42,2249,derived2p5,90,1268.264256976986,1336.2089466211728
scan-hop-8a7c8202a5bf67c8,1053,native10,90,993.8962260434591,1040.5417508417354
scan-hop-8a7c8202a5bf67c8,1086,native10,90,1245.6239439877406,1236.7358830381552
scan-hop-8a7c8202a5bf67c8,1534,native10,90,986.089435161644,1023.5461976100748
scan-hop-8a7c8202a5bf67c8,1534,derived2p5,90,1251.0831456258313,1252.6466642484347
scan-hop-8a7c8202a5bf67c8,1664,native10,90,1008.3262661852821,1035.9999285163299
scan-hop-c997353435840769,846,native10,90,999.5201067835235,1034.3202819091564
scan-hop-c997353435840769,1590,derived2p5,90,1161.998275348947,1210.9685369229835
scan-hop-c997353435840769,2325,native10,90,1098.1371522848854,1096.4308343609189
scan-hop-82e3eef31eb77a1f,122,native10,90,865.3646671669985,890.7141308177964
scan-hop-82e3eef31eb77a1f,122,derived2p5,90,1130.6585293140652,1261.8175282569355
scan-hop-82e3eef31eb77a1f,923,native10,90,911.1476683545798,896.0274475106161
scan-hop-82e3eef31eb77a1f,923,derived2p5,90,1108.7532317629355,1075.170231414365
scan-hop-82e3eef31eb77a1f,2160,native10,90,1014.0427515946812,1018.5603059123919
scan-hop-966bb8eec823f15c,1000,native10,90,940.8799351257762,981.7243055141846
scan-hop-966bb8eec823f15c,1000,derived2p5,90,921.3500110490938,962.4542417693209
scan-hop-966bb8eec823f15c,1804,native10,90,1158.889152719521,1155.187781180023
scan-hop-c385aedb1181e285,456,native10,90,1019.3490520438705,976.1401400549595
scan-hop-c385aedb1181e285,977,native10,90,981.3140084114062,944.7289016465522
scan-hop-c385aedb1181e285,977,derived2p5,90,1113.7570419801007,1044.608819332911
scan-hop-c385aedb1181e285,1185,native10,90,1075.8776088982074,1089.0313332388691
