session_id,visit_index,target_index,band,state,reason,time_s,frame_phase_s,timing_rate_s_per_s,timing_sigma_s,cfo_hz,cfo_rate_hz_per_s,cfo_sigma_hz,accepted_observations
scan-hop-002263e74ae412da,962,7,derived2p5,acquiring,accepted PSS observation,121.2442022,0.0004940041504924017,0.0,1.0575213912382539e-06,0.0,0.0,200000.0,1
scan-hop-002263e74ae412da,963,4,native10,acquiring,no observation inside prediction gate,121.3689946,,,,,,,0
scan-hop-002263e74ae412da,963,4,derived2p5,acquiring,no observation inside prediction gate,121.3689946,,,,,,,0
scan-hop-002263e74ae412da,964,5,native10,acquiring,accepted PSS observation,121.495532,0.0005058018233510922,1.869015680300607e-06,9.69346816414506e-07,-200000.0,0.0,141563.14457882626,2
scan-hop-002263e74ae412da,964,5,derived2p5,acquiring,accepted PSS observation,121.495532,0.0005061039651020763,0.0,1.1755356457423793e-06,0.0,0.0,200000.0,1
scan-hop-002263e74ae412da,965,2,native10,acquiring,accepted PSS observation,121.6215964,0.0004815974229186879,1.2638046070591142e-06,1.1602720693522068e-06,200000.0,0.0,141490.8794424197,2
scan-hop-002263e74ae412da,965,2,derived2p5,acquiring,no observation inside prediction gate,121.6215964,,,,,,,0
scan-hop-002263e74ae412da,966,6,native10,acquiring,accepted PSS observation,121.7523881,0.00048173764211553586,1.4618868812080708e-06,1.0287387102751578e-06,-200000.0,0.0,141491.00941342133,2
scan-hop-002263e74ae412da,966,6,derived2p5,acquiring,no observation inside prediction gate,121.7523882,,,,,,,0
scan-hop-002263e74ae412da,967,1,native10,acquiring,accepted PSS observation,121.8785455,0.0005065130500810474,1.8671185737311798e-06,9.134526800062599e-07,200000.0,0.0,141564.63514012526,2
scan-hop-002263e74ae412da,967,1,derived2p5,coasting,no observation inside prediction gate,121.8785454,0.0011176783870403741,0.0,1.2764527768551111e-05,1200000.0,0.0,200405.8709232356,1
scan-hop-002263e74ae412da,968,0,native10,acquiring,no observation inside prediction gate,122.0044175,,,,,,,0
scan-hop-002263e74ae412da,968,0,derived2p5,acquiring,no observation inside prediction gate,122.0044174,,,,,,,0
scan-hop-002263e74ae412da,969,3,native10,tracking,accepted PSS observation,122.1291722,0.0004956344967464481,2.5175163322041332e-06,8.697487357514029e-07,132819.48756857222,-509.35550994981656,115914.2031257842,3
scan-hop-002263e74ae412da,969,3,derived2p5,lost,no observation inside prediction gate,122.1291722,,,,,,,0
