method_id,iteration,arm,method,classification,superseded_by,registry_aliases,ds1_scope,ds3_scope,ds1_terminal_status,ds1_qualification_status,ds1_ranking_eligible,ds1_qualification_reason,ds3_terminal_status,ds1_estimate,ds3_estimate,ds1_postseal_error_km,ds3_qualified_postseal_error_km,ds3_diagnostic_postseal_error_km,postseal_delta_km,ds3_objective,ds3_runtime_s,ds3_support,qualification_reason,comparability,ds1_postseal_artifact,ds1_postseal_artifact_sha256,ds1_qualification_artifact,ds1_qualification_artifact_sha256,ds3_artifact,ds3_artifact_sha256,method_terminal,iteration_ledger_terminal
i27-phase-cache,27,phase_cache,Iteration 27 Exact phase-cache atlas,position_method,,[],reports/2026_09_25_ds1_iteration27_phase_cache,DS3/all56,historical_terminal,unqualified,False,"sealed gate failed: all_leave_one_session_center_reranks, center_winner",not_run,"{""latitude_deg"": 37.85778970149659, ""longitude_deg"": -122.47951801526318}",,1.112841731176525,,,,,1.561013050377369e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}","Fresh DS3/all56 computation remains required. Build independent DS3 anchor association, posterior nodes, ECEF cache chunks and direct validation; same frozen numerical gates but DS3-derived group weights/support.",pending DS3 terminal result,reports/2026_09_25_ds1_iteration27_phase_cache/evaluation/postseal-evaluation.json,sha256:22cd8e65721d13d1c4755caee402bd33875cf814d33ee8e7b70d4628de53cba9,reports/2026_09_25_ds1_iteration27_phase_cache/stencil.json,sha256:f21d1473597cca0d944c128e2e63428ad6ca373afa27cc8fab1af10149503d36,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-27.json,sha256:34153c6541e1afda633fdb297ab18a304bd4f561e5a2b61d77ac8a23345fb31c,False,False
i28-basin-search,28,phase_basin,Iteration 28 Phase-atlas basin search,position_method,,[],reports/2026_09_25_ds1_iteration28_basin_search,DS3/all56,historical_terminal,unqualified,False,transverse bracket failed,not_run,,,1.705870345674246,,,,,2.0490260794758797e-06,"{""observations"": null, ""sources"": null, ""tracks"": null}","Fresh DS3/all56 computation remains required. When DS1 contract finalizes, independently seal a DS3 plan with its own anchor/cache/associations before execution; do not copy DS1 selected direction or cell.",pending DS3 terminal result,reports/2026_09_25_ds1_iteration28_basin_search/evaluation/postseal-evaluation.json,sha256:8cefa268db8c41b0767bba9e61615c2d6f8c8306404461f2121a1aee3160dc49,reports/2026_09_25_ds1_iteration28_basin_search/qualification.json,sha256:8fe48efb1aec176f4d026607a295e23f3567f28f672502b04818a3be5d551601,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-28.json,sha256:1be7ac61d4768a502a65a60eab3637b28edd0f7f2da28fa1b3f054e19650aa24,False,False
i29-resolution-safe-search,29,resolution_safe,Iteration 29 Resolution-safe search,position_method,,[],reports/2026_09_25_ds1_iteration29_resolution_safe_search,DS3/all56,historical_terminal,unqualified,False,primary ray failed,not_run_adapter_unavailable,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",the sealed all-iteration registry ends at iteration 28 and has no exact DS3 adapter for the iteration-29 resolution-safe optimizer,pending DS3 terminal result,,,reports/2026_09_25_ds1_iteration29_resolution_safe_search/qualification.json,sha256:75fcf66efd3f2144d53379d93460d7ab641d254cb0445d31655d89815d65aca2,reports/2026_09_25_ds1_iteration29_resolution_safe_search/ds3-companion.json,sha256:d0ef171b4f25cfa7695e7e743f521723260d69c2a583ff217d3625454309280d,False,False
i30-fixed-topk-soft-preflight,30,fixed_topk,Iteration 30 Fixed top-K soft-association preflight,preflight,,[],reports/2026_09_25_ds1_ds3_iteration30_soft_association_preflight,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_preflight,,,,,,,,7.394604166969657,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_preflight,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds1_ds3_iteration30_soft_association_preflight/findings.json,sha256:25d854f4e57b5c500034276f5f79705bae7d02932d38ab8b1d5b2ea835a30410,True,True
i31-exact-state-soft-preflight,31,exact_state,Iteration 31 Exact candidate-state soft preflight,preflight,,[],reports/2026_09_25_ds1_ds3_iteration31_exact_soft_preflight,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_preflight,,,,,,,,53.74413521401584,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_preflight,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds1_ds3_iteration31_exact_soft_preflight/findings.json,sha256:40da5fd9321608599c192385e22eded35f468a267d10e8124ee066b71525a20d,True,True
independent-per-track-time,,independent_per_track_tau,Independent per-track receive time,position_method,,[],reports/2026_09_24_ds1_timing_ablations,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.847100032440544, ""longitude_deg"": -122.43752834216635, ""postseal_error_km"": 4.231109763301439, ""ranking_eligible"": false}",,,4.231109763301439,,0.395367933797332,2179.09283704299,"{""observations"": 36270, ""sources"": null, ""tracks"": 1443}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/independent_per_track_time.json,sha256:960af9dcd7421d0d4107fb9d3251c33d180ad028585da47cf070ffcbebca7933,True,
learned-pointing-cone-quantiles,,learned_pointing_cone_quantiles,Learned pointing-cone quantiles,diagnostic,,[],reports/2026_09_23_train_pointing_cone,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,no_position_diagnostic,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",no_position_diagnostic,accounting/diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-d/output/geometry/learned_pointing_cone_quantiles.json,sha256:7f85125365ca96f2f5b3b66bf2e7744d6250f974338b49b1ec6d7216f6e317b6,True,
local-fitted-full-fov-cone-position,,local_fitted_full_fov_cone_position,Local fitted full-FOV cone position,position_method,,[],reports/2026_09_24_local_cone_grid,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,qualified,,"{""label"": ""selected"", ""latitude_deg"": 38.909702587670274, ""longitude_deg"": -119.95430574089255, ""postseal_error_km"": 250.18061023121152, ""ranking_eligible"": true}",,250.18061023121152,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",qualified,method-matched DS1/DS3 comparison,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-d/output/geometry/local_fitted_full_fov_cone_position.json,sha256:5fac9f61583f874ec8cc3b2c33f4b806478cdb9fcc0c6a52d43fb956dedbad4d,True,
regularized-per-scan-time,,regularized_per_scan_tau,Regularized per-scan receive time,position_method,,[],reports/2026_09_24_ds1_train_full_timing,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.847100032440544, ""longitude_deg"": -122.43752834216635, ""postseal_error_km"": 4.231109763301439, ""ranking_eligible"": false}",,,4.231109763301439,,0.5400852697919002,2161.8676205989905,"{""observations"": 36270, ""sources"": null, ""tracks"": 1443}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/per_scan_time.json,sha256:fcc3b7fc9bab9751252d1532b639e353df8be78ba8bd74ce7d82e28406423e18,True,
soft-association,,soft_association,Soft identity mixture,position_method,,[],reports/2026_09_24_ds1_train_full,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,
soft-association-plus-global-time,,soft_association_plus_global_time,Soft identity mixture plus global receive time,position_method,,[],reports/2026_09_24_ds1_train_full,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.847100032440544, ""longitude_deg"": -122.43752834216635, ""postseal_error_km"": 4.231109763301439, ""ranking_eligible"": false}",,,4.231109763301439,,7.985023612727981,2558.3883048180724,"{""observations"": null, ""sources"": null, ""tracks"": null}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/soft_association_plus_global_time.json,sha256:3c5eb64dd2761123996da86ab4861363304537fdcf1f4deacb213d1ce29e4b93,True,
staged-full-fov-cone-sweep,,staged_full_fov_cone_sweep,Staged full-FOV cone sweep,diagnostic,,[],reports/2026_09_23_staged_cone_width_sweep,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,no_position_diagnostic,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",no_position_diagnostic,accounting/diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-d/output/geometry/staged_full_fov_cone_sweep.json,sha256:1c808c728b783a793611408a6ce1cc5130d22f4a972bc6fb094ede2643f6688f,True,
