session_id,rate_msps,tracklet_id,channel,edge,span_s,observation_count,local_rms_hz,rate_hz_s,eligibility
scan-fw-238918c2fc5adbd2,10.0,sha256:6ea2b914400a206dedc6fb1ed9913e68ccb19e2910e6d3a12e04c4bf3cc3401d,2,upper,12.9268576,12,143.57546355201362,-3617.1833041771515,sparse
scan-fw-238918c2fc5adbd2,10.0,sha256:be6874b8df912321e73f738e0df1a7b6af2da38844b4c05b864c66654bf81b84,4,upper,16.8563472,13,85.15969172703609,-3710.974705482034,sparse
scan-fw-238918c2fc5adbd2,10.0,sha256:132a055fd7845c15428abd4e27b4b1b918a4cc32e6c19ff4a0bb2af48330dbda,3,upper,13.907033,13,273.5644201120772,-3445.588020479529,sparse
scan-fw-0e051aa4840732c4,15.0,sha256:d2f903066815e8f085407c77924dd6533388d6ba955be5e0e5a6147cf460b900,4,lower,12.224309533,13,65.27387372864176,-3606.8303240017717,sparse
scan-fw-058d6084382f51ba,20.0,sha256:dee7e5a8cf687bf000422fa8f1e83f897eca61bae383b798c42cd8630ab1309d,3,upper,7.45765385,13,78.18966882178118,-3826.6848702146394,sparse
scan-fw-73af001a36ff7af2,10.0,sha256:81ec4ed855e5ebcacac7d6252499617611bc133442b3b45f9b4b72b7d66198b3,4,upper,11.1016301,12,68.9944631162877,-3768.848379193182,sparse
scan-fw-73af001a36ff7af2,10.0,sha256:0581182661cbfc2310cd1ed0bbadb0d68fc78bcbfce952f77e78d435039c0b6d,4,lower,12.2216274,12,50.60967194553555,-3754.498167418383,sparse
scan-fw-73af001a36ff7af2,10.0,sha256:41753d8fbbf1df17faffc969960c181e82cb4a4c700b7b726eb661f4152676f8,1,lower,16.435051,12,176.2071291025107,-3340.2162046745743,sparse
scan-fw-696d33fa7ed976b2,15.0,sha256:07bec0b051d9c102eb9f23f0b5364330e40377eca535e48a972d350b275a8b9e,4,upper,15.314973466,13,66.09734960146893,-3929.688913259549,sparse
scan-fw-696d33fa7ed976b2,15.0,sha256:9dd435ca32212807437e57bc3a0df22e96e0b97c8f75e62bd41f61bf0b647b37,3,lower,6.6121686,13,128.32777650620832,-3770.3454170044884,short+sparse
scan-fw-b9c1f4be7b8da272,15.0,sha256:e18d0086d3816a28e1469603ff1a39f2a2902c10172e600ace2377ee5f235375,1,upper,5.210999867,12,54.95950231616333,-3114.2627521614972,short+sparse
