session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,2,lower,0,13,8.8601625,-3589.2486885421,83.06564466486485
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,2,upper,0,24,11.9438873,-3964.5529087030936,97.89571597791786
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,1,lower,0,41,21.7658219,-3941.64339915047,334.32008846740104
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,2,lower,0,12,8.718923,-3663.8391042324924,98.88560285462049
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,4,lower,0,16,9.2775978,-3578.0520466136286,69.75834386240332
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,1,lower,0,14,9.278986,-3342.701911599807,203.2576943654393
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,2,lower,0,22,12.7883719,-3548.925342671692,261.2386841128791
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,1,lower,0,37,21.908239,-3868.9078388584617,234.18565663591522
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,2,upper,0,17,9.7003115,-3886.149527007111,83.22196839959926
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,1,upper,0,16,8.4389555,-4014.5455068995398,21.386914119435932
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,3,lower,0,12,9.420308467,-3669.309618573321,85.24069714139577
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,1,upper,0,15,8.2988858,-3287.8252251673316,100.74819047542815
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,4,upper,0,50,24.2923718,-3679.234996227668,310.1184740137231
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,2,upper,0,10,9.421604734,-3653.41699321104,79.061881965753
