session_id,radio_id,sample_rate_hz,inventory_segment,visit_index,phase_blind_priority,state,reason,channel,edge,supported,band_phase_resultant,tracked_coherence,wrong_pair_coherence,held_group_count
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1534,0.5774731798841096,abstained,ValueError: No A-band support for response normalization,,,False,,,,
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1526,0.5763613652050487,replayed,,2,upper,True,0.9803316678300417,0.20567709728701325,0.0033275575791143546,3
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1520,0.5668475963370224,replayed,,2,upper,True,0.9737541510367604,0.17170592331542425,0.006497058816805291,3
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1550,0.5662992210813197,replayed,,2,upper,True,0.9713264178630188,0.19250971239398884,0.005280423092383706,3
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1590,0.5652129872183398,replayed,,2,upper,True,0.9754756641440966,0.1484903001050346,0.004176714268181835,3
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1543,0.5629132416370048,replayed,,2,upper,True,0.9881581853132022,0.19068896597666377,0.0009593432693622878,3
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1521,0.5581364180028077,replayed,,2,upper,True,0.9746349424390371,0.16923857362529948,0.008712000300522414,3
scan-fw-12cb866cbc37adb9,radio_pluto_5d4d,2500000,original_published_cohort,1537,0.5563063521036843,replayed,,2,upper,True,0.9797913618007825,0.20566636094590282,0.006325322221545194,3
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2014,0.5714814301153717,replayed,,2,upper,True,0.9847144482091346,0.2296644012912676,0.003155865045291582,3
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2038,0.569082981192489,abstained,ValueError: No A-band support for response normalization,,,False,,,,
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2035,0.5599830036372316,replayed,,2,upper,True,0.9687319672835084,0.13342404009353862,0.0017945233102726684,3
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2047,0.5576028242560153,replayed,,2,upper,True,0.9744363160452724,0.15989410085419078,0.00634963659001834,3
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2016,0.552421775129588,replayed,,2,upper,True,0.9700434614570378,0.209205931805747,0.00492095977992469,3
