abstention_reasons,abstention_recommended,catalog_number,fit_rms_hz,heldout_rank,heldout_runner_nll_margin,leading_candidate_persisted_on_heldout,nominal_beats_both_wrong_times,nominal_beats_radio_null,radio_id,radio_null_delta,randomized_evaluation_rms_hz,rank,row_kind,scored_observation_count,selected_tau_seconds,session_id,source_observation_count,support_span_seconds,tracklet_id,training_runner_nll_margin,wrong_time_minus_delta,wrong_time_plus_delta
,,62160,337.06388631763116,,,,,,radio_pluto_19f2,,992.2554430568815,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:fab0969683d73e0b3ba32fe2a403c69b69e733e417a451b5fff0bed189b5368a,,,
,,65648,337.7385380038887,,,,,,radio_pluto_19f2,,1007.2509812552751,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:fab0969683d73e0b3ba32fe2a403c69b69e733e417a451b5fff0bed189b5368a,,,
,,63756,397.82522933788584,,,,,,radio_pluto_19f2,,632.306049474414,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:fab0969683d73e0b3ba32fe2a403c69b69e733e417a451b5fff0bed189b5368a,,,
,,56116,143.57949276742852,,,,,,radio_pluto_19f2,,151.23694657964873,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:75c50b70e96bfba989cde47ffcb324d7c9075b139e7a684563c44031f032526b,,,
,,57301,667.8856912676633,,,,,,radio_pluto_19f2,,577.519634338698,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:75c50b70e96bfba989cde47ffcb324d7c9075b139e7a684563c44031f032526b,,,
,,68056,849.2593103075989,,,,,,radio_pluto_19f2,,810.6835428114961,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:75c50b70e96bfba989cde47ffcb324d7c9075b139e7a684563c44031f032526b,,,
,,58738,1690.1171812381237,,,,,,radio_pluto_19f2,,1878.586921956959,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:75c50b70e96bfba989cde47ffcb324d7c9075b139e7a684563c44031f032526b,,,
,,62835,1811.2246762538225,,,,,,radio_pluto_19f2,,2377.478034818383,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:75c50b70e96bfba989cde47ffcb324d7c9075b139e7a684563c44031f032526b,,,
,,63389,41.55382244361389,,,,,,radio_pluto_19f2,,84.35196734076357,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:3436622f2fc1a5ebe3d3ce35fb9e42ed9b764054682a18a2ba98bfee439103c5,,,
,,63756,200.50449702803365,,,,,,radio_pluto_19f2,,372.6212393445418,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:3436622f2fc1a5ebe3d3ce35fb9e42ed9b764054682a18a2ba98bfee439103c5,,,
,,69207,339.6186366988132,,,,,,radio_pluto_19f2,,354.2679178480137,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:3436622f2fc1a5ebe3d3ce35fb9e42ed9b764054682a18a2ba98bfee439103c5,,,
,,48022,757.364497980601,,,,,,radio_pluto_19f2,,923.1488103171415,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:3436622f2fc1a5ebe3d3ce35fb9e42ed9b764054682a18a2ba98bfee439103c5,,,
,,58884,983.9303185494051,,,,,,radio_pluto_19f2,,1086.3303261094247,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:3436622f2fc1a5ebe3d3ce35fb9e42ed9b764054682a18a2ba98bfee439103c5,,,
,False,59083,,1,1.6405652552592755,True,False,False,radio_pluto_19f2,-3.0470251356321967,,1,physical_group_candidate,49,3.0,scan-fw-9f3d5067d149118e,49,34.6136812,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498,2.1881422121247738,-1.6383153513332047,1.7455834945101856
,False,56116,,1,1.199997171720014,True,False,False,radio_pluto_19f2,-3.505883853021402,,1,physical_group_candidate,42,0.0,scan-fw-9f3d5067d149118e,42,23.8336436,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79,1.1507074215108446,-1.790418715063879,-2.3149553512064074
tau-boundary,True,48022,,1,0.5940792839160167,True,True,False,radio_pluto_19f2,-0.5226785423196816,,1,physical_group_candidate,27,-5.0,scan-fw-9f3d5067d149118e,27,17.7971584,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487,0.6026195225749404,1.2472768605222768,0.5547107650963881
,False,48022,,1,0.3928448155725732,True,True,False,radio_pluto_19f2,-0.12085572524578936,,1,physical_group_candidate,15,-3.0,scan-fw-9f3d5067d149118e,15,15.8550308,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4,0.45823231791328567,0.007345478422699614,0.3557214376825044
,,59302,87.2788877021865,,,,,,radio_pluto_19f2,,87.95350019006683,1,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:672042bbc606dbf7729b24a047b617863d2e730495a5e4a9782f5e8805ad1592,,,
,,60587,1596.0798504051058,,,,,,radio_pluto_19f2,,2235.6982157503994,2,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:672042bbc606dbf7729b24a047b617863d2e730495a5e4a9782f5e8805ad1592,,,
,,60598,2803.4712927766113,,,,,,radio_pluto_19f2,,3207.114725680005,3,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:672042bbc606dbf7729b24a047b617863d2e730495a5e4a9782f5e8805ad1592,,,
,,62829,4439.645178812815,,,,,,radio_pluto_19f2,,5962.102627942036,4,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:672042bbc606dbf7729b24a047b617863d2e730495a5e4a9782f5e8805ad1592,,,
