actual_rf_hz,channel,edge,normalized_rate_hz_per_s,observation_count,radio_id,receiver_id,residual_rms_hz,sample_rate_hz,session_id,span_seconds,tracklet_id
10709687498.0,1,lower,-3884.9072762909454,63,radio_pluto_5d4d,1,949.2322021122719,2500000,scan-fw-8d1424f9297d34fb,36.0495552,sha256:8812dd6624dfbe8dd56471185799f75ae85041cb1df5815d0f8083118d04e589
10709687498.0,1,lower,-3895.008747524596,60,radio_pluto_5d4d,0,786.976295895541,2500000,scan-fw-8d1424f9297d34fb,37.9537312,sha256:2eafbf91c30a5aa023f4c1481904191bf95b80b34535fa90fe61e332ecdaa51f
11209687498.0,3,lower,-3945.6290149807455,33,radio_pluto_5d4d,1,339.52112815587594,2500000,scan-fw-8d1424f9297d34fb,20.0590208,sha256:1c331e3b749055e370bc4ca5c6efd1630920fae5a035fc5e44241e3453117497
11209687498.0,3,lower,-3930.1088732221265,30,radio_pluto_5d4d,0,281.544706068669,2500000,scan-fw-8d1424f9297d34fb,20.2990184,sha256:7bfa5e05d48c6bfc4b865484f46a5f4e01a8e66ca55758308beb6a50eaca78a9
11459687500.0,4,lower,-3872.279855619887,9,radio_pluto_5d4d,0,78.80114683414372,2500000,scan-fw-8d1424f9297d34fb,5.6722596,sha256:d5297abc3c25ea1d94ec211038f1b4b7342cfb8127005a6d33108a0ffc45e104
11690312500.0,4,upper,-3313.8873776489513,18,radio_pluto_5d4d,0,334.9042982624809,2500000,scan-fw-573f6201b09f5ba4,14.1095416,sha256:2fa05b79b17f3a8cb27ba06ff4d8940b21bd8c458b525cc2173ed46b7a759e9a
11190312500.0,2,upper,-3677.4087010306644,44,radio_pluto_5d4d,1,338.6596419621124,2500000,scan-fw-573f6201b09f5ba4,32.97099,sha256:d1d9b284d249d615debd7edab308439d94e7d837e0b7e7f662000b35a6389e2d
11190312500.0,2,upper,-3672.1508828881124,44,radio_pluto_5d4d,0,322.5781945154432,2500000,scan-fw-573f6201b09f5ba4,32.4496588,sha256:f1ee385191a4091c5cddc1e7c8fe4f77d1581c0af6c25b202d933a4bcbfc05ea
11690312500.0,4,upper,-3339.8594765206185,30,radio_pluto_5d4d,0,329.0618507023351,2500000,scan-fw-573f6201b09f5ba4,13.4654288,sha256:2b0e4062e799c7e54dc8fa70776621909ec4ae0a9e490bfd280b92b9fde2c65c
11690312500.0,4,upper,-3389.8728385583795,24,radio_pluto_5d4d,1,293.3695571731353,2500000,scan-fw-573f6201b09f5ba4,13.4654288,sha256:c1a0b26de6b6fd3c152417150116f18891e0b2abda480a9016deaf9ccd1935f5
10940312500.0,1,upper,-3516.2895932355873,24,radio_pluto_5d4d,1,144.28180900628223,2500000,scan-fw-573f6201b09f5ba4,12.7085,sha256:3045e9d31ed844cde710ce59a929eef3de6dedb767b518919b415b7d1c32bdd6
10940312500.0,1,upper,-3521.121714510768,18,radio_pluto_5d4d,0,80.68935973476923,2500000,scan-fw-573f6201b09f5ba4,13.9325196,sha256:dc07fb772f5c3253d9421bb305b07cbeca9416771331a79016b8e51944222ac2
10940312500.0,1,upper,-3768.6749575200524,13,radio_pluto_5d4d,0,296.3379342797223,2500000,scan-fw-573f6201b09f5ba4,14.353418,sha256:f6380d3da07727acafbc3db3968b9f7f94322e80fb3e57e43bfad456d3d4cd35
11690312500.0,4,upper,-3905.5830964368247,15,radio_pluto_5d4d,1,211.35212153532333,2500000,scan-fw-573f6201b09f5ba4,17.8774224,sha256:6546d71e31add91a6fb70ee2fb7c3baaa53eda32d2700a3a7032659ffde9caff
10940312500.0,1,upper,-3844.6486488558744,8,radio_pluto_5d4d,1,130.14607474717542,2500000,scan-fw-573f6201b09f5ba4,7.6749792,sha256:d3b730ede33d6d90b61987bc3db2336e03c0c50039f437b6f16c61bf48874909
11190312500.0,2,upper,-3226.9264734297535,25,radio_pluto_5d4d,0,531.9138871640814,2500000,scan-fw-573f6201b09f5ba4,19.0577588,sha256:a4a9a78f8ec2ffa3f1725e1b04599f954cfab9c8e84a9742f23f21130ce010b8
11690312500.0,4,upper,-3937.0294559471286,9,radio_pluto_5d4d,0,34.40811905229213,2500000,scan-fw-573f6201b09f5ba4,4.4069636,sha256:40e21cadd044cc23d07419c75fc09d0e4f02eeae59f0f534199f5a0075b5c0d4
11190312500.0,2,upper,-3408.4721083299005,12,radio_pluto_5d4d,1,158.04279973527053,2500000,scan-fw-573f6201b09f5ba4,6.952326,sha256:0bdf4966e74584be66900e3414c770436860c42497287e8f23c9bad969a9b5d1
11690312500.0,4,upper,-3726.40405785431,19,radio_pluto_5d4d,1,131.99383782539425,2500000,scan-fw-573f6201b09f5ba4,14.5123096,sha256:b4c48d173251cf684fb23736201f845e7092c157c34d45542ba52efa65ec8018
11690312500.0,4,upper,-3732.7125715145903,18,radio_pluto_5d4d,0,126.2760199362035,2500000,scan-fw-573f6201b09f5ba4,13.5696396,sha256:2a7cf345cbca6963d1cf569295fcc963be3e95fa2f56c0d5ffd8c53e7d2ebe56
11690312500.0,4,upper,-3654.9822747535572,36,radio_pluto_5d4d,1,236.0415910784373,2500000,scan-fw-573f6201b09f5ba4,25.1575624,sha256:61a626e77ed68006b8acb46bc5d392cee4fac6845d7f1cb756a2fcf01f340a5f
11440312496.0,3,upper,-3646.7259137429146,36,radio_pluto_5d4d,1,215.25466977109022,2500000,scan-fw-573f6201b09f5ba4,20.80826,sha256:62641c6c057bbe0568b98ba7349c5d18ce895f8c2eac0139cb59d6884b675161
11440312496.0,3,upper,-3516.0081031508657,33,radio_pluto_5d4d,0,778.9826007232429,2500000,scan-fw-d30c80bd75815223,22.7404,sha256:5262631355326fa410da4be66b5dded26df11983f1966257b15ce41919a6d3bf
11190312500.0,2,upper,-3556.6443843071893,17,radio_pluto_5d4d,1,138.60216424595689,2500000,scan-fw-d30c80bd75815223,6.7136648,sha256:5e328b4f8d5b9634cf2aa189505f367d8576a3ec9bf97ca124737c7f27781205
11440312496.0,3,upper,-3360.4998116438296,12,radio_pluto_5d4d,0,103.61427516776287,2500000,scan-fw-d30c80bd75815223,6.9761368,sha256:7ed678a34cd296f2e21c3a72c2e85fd248fc55b41d5e74d223b2cf4243836443
