glrt_cfo_hz,glrt_margin,glrt_trajectory_id,pss_aligned_cfo_hz,pss_coarse_cfo_hz,pss_fine_cfo_hz,pss_fine_peak_to_median,pss_minus_glrt_hz,pss_mode_id,pss_robust_z,pss_timing_track_residual_us,pss_unwrapped_cfo_hz,receiver_id,target_index,time_s,track_rank,visit_index
62033.99074844293,0.4155821509179932,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,70615.84717074758,-200000.0,-271618.11089822266,1.145490193318223,8581.856422304656,sha256:6360f15e896d16ef50be95674b5915d3e5d528ac1324dd5487e87ab08c2bc70e,7.378971730422696,0.07284942406390535,-271618.11089822266,0,5,188.0090629,3,1385
60379.929157155224,0.48074911667352577,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,76253.05398902827,-200000.0,-265980.904079942,1.0984581881508702,15873.124831873043,sha256:8a2421a06e0106061f8dfbf4a61dc9f1ea4f839d8d60dbce3506ac8e3ed92d5c,8.004261647481089,0.020642799781708278,-265980.904079942,0,5,188.4302884,3,1388
59384.35828607084,0.4791103706316837,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,58754.9593996731,-200000.0,-283478.99866929714,1.2866398139616646,-629.3988863977429,sha256:668f8724f23135e29b591a272ae3aa7c3197d020e55ceca1c9ab23d15e8a6283,7.372434251347011,0.05085809681802233,-283478.99866929714,0,5,188.7106894,3,1390
58917.51560311938,0.4368741537177509,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,62408.234557683405,-200000.0,-279825.72351128684,1.2624896025184034,3490.7189545640285,sha256:c058c3f3ca6703af1e36f79e916cb52656053bf9ac76a3ffb9a3a69d98f598d8,10.494693975743617,0.14798338469716993,-279825.72351128684,0,5,188.8313505,3,1391
52978.95032458078,0.48097299124208037,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,75597.60576805635,-200000.0,-266636.3523009139,1.0875981206699494,22618.655443475574,sha256:03bc4f76de1f01acbe089f65bbeeccb4b8f15e1a6e809d099a5c78bcc5d680ba,6.154740167045273,0.0012280929355054648,-266636.3523009139,0,5,190.4351753,3,1403
49713.354646336826,0.42269577550999476,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,121904.19446178488,-200000.0,-220329.76360718536,1.0575782044163158,72190.83981544805,sha256:ee987b9cff8eb0af027c8a843f38f0450c3b989a42ea59c4f25f6a3d0a849fa3,6.2180923912750785,0.20133280364642397,-220329.76360718536,0,5,191.3373544,3,1410
47715.539672760104,0.4149786993052552,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,61312.07435650943,-200000.0,-280921.8837124608,1.247194982122838,13596.534683749327,sha256:420f9c953d13855de8020596b342dd94a8c319df4024032b90145a97bbfd09a3,7.013436093261034,-0.09810351022667384,-280921.8837124608,0,5,191.8985467,3,1414
45152.54798328286,0.45805673561003785,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,60091.950182387256,-200000.0,-282142.007886583,1.303513318822922,14939.4021991044,sha256:a42c954b45f6fec0eb8990696fd11311b9110867549eac2757ef5e6de4582a18,6.368736365343214,-0.13773259984189035,-282142.007886583,0,5,192.5813459,3,1419
40975.979254012236,0.532556701904157,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,35197.59217604261,-200000.0,-307036.3658929276,1.4400782960851972,-5778.387077969623,sha256:8057090164c29a4e390f4e54db7a66c9885486bedce629ac548250ddb9cb21a7,7.417665531340534,-0.1426404572783162,-307036.3658929276,0,5,193.8258572,3,1428
39111.68090007664,0.5149258296843251,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,90840.37340513727,-200000.0,-251393.58466383297,1.0634705474442667,51728.69250506064,sha256:51cef250de9d7dfcd83ba92c2217f2643188d61d9a63631538c55049208d055e,8.278649742006841,-0.13086213833672816,-251393.58466383297,0,5,194.347963,3,1432
38043.75098218245,0.47494896530123853,sha256:db06c27090e9ce95c787cedb93ac56894124e19fe75cd0fd82c63dabebaa97dc,69328.81741939014,-200000.0,-272905.1406495801,1.087432098714181,31285.066437207686,sha256:e096fb5c7a761c2e135945ab703f1098ffd5a1db3dbe6eba69d9a5213e1d9e13,6.09330367195255,-0.11102693962068613,-272905.1406495801,0,5,194.6289293,3,1434
122592.163744495,0.31907794291924785,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,241140.14540861806,-200000.0,-214807.91370025245,1.1057786247408967,118547.98166412306,sha256:5ab031e0ef40031dd6c23559988e5e72380a330f721adf40edabba24f5f363b7,8.232784664721759,-0.015284003430601246,-214807.91370025245,0,4,106.9695869,4,787
121062.43225895248,0.3542014247798235,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,214853.92383353232,-200000.0,-241094.1352753382,1.1116305073856259,93791.49157457984,sha256:1fa8e0ef51c65ba46084dfd722b69de8096d01545ab8f61fc698e4282b0403c1,8.195977476087844,0.07880860871268408,-241094.1352753382,0,4,107.3910964,4,790
120614.53948133627,0.369252142247201,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,223071.62288106966,-200000.0,-232876.43622780085,1.1161150485458755,102457.0833997334,sha256:3e44ec5e8480949bd4ad9c21a8a661e8df4b5a4ea5c32ec85c3a0728088e5501,10.594031533485166,-0.03834991132360514,-232876.43622780085,0,4,107.5111356,4,791
115207.9528317436,0.39647969680389095,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,117530.1312361614,-200000.0,-224781.5642363455,1.1271203118935393,2322.178404417791,sha256:844054a02ed6625f3e0c4827a1f618596845998bf771a16281d3fc452d0626bd,8.001834885081479,-0.002910108998829125,-338417.9278727091,0,4,109.0148369,4,802
113841.42529065431,0.4312858660475208,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,118419.23935732554,-200000.0,-223892.45611518135,1.1347934304103109,4577.814066671228,sha256:b4aa4863557c1b51db4b3dbaad4fc25a8556d7a0b86a318dcec49adc0cbf5c59,13.641683310218177,-0.019485927396927123,-337528.819751545,0,4,109.4163005,4,805
113405.20145935386,0.43762425323879905,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,114812.07316260651,-200000.0,-227499.62230990038,1.1465860103176209,1406.8717032526474,sha256:fd174eb697fce0e34b98b890a94ec2215e2662969a479ee6c722c08dc85cbbce,16.35976707244207,-0.04309776782402807,-341135.985946264,0,4,109.5370892,4,806
111415.3352907056,0.46481106116112525,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,110958.50278881512,-200000.0,-231353.19268369177,1.143579311405663,-456.8325018904725,sha256:1d2f55fee132c4f544f87e294333f0d1ae53d1be17fddf82c81047139fe3f456,14.774152783553527,-0.01898120969548358,-344989.5563200554,0,4,110.0782864,4,810
109944.46076383848,0.47900470656260863,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,113255.92066181923,-200000.0,-229055.77481068767,1.1575517745720523,3311.459897980749,sha256:a6db192e332f3feb7eb9a76432c2f2e128bd9eb17bdbb5b147d8d3a163b6fdfc,17.041105130888226,-0.02275072694330523,-342692.1384470513,0,4,110.4995449,4,813
108882.9855259419,0.437211466727745,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,106662.13372917037,-200000.0,-235649.56174333653,1.1567463584195328,-2220.8517967715306,sha256:e3a38d83fc4e768a2b5cc8668ca47397b1c53ecc0ee314300440047151a410f6,14.654032456122572,-0.009254724494568711,-349285.92537970014,0,4,110.780159,4,815
107335.41670526894,0.4617779145977948,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,91102.76539570861,-200000.0,-251208.93007679828,1.1358122824662118,-16232.65130956033,sha256:6eec440059ad76cca95259a35c1a4afe9b65866e3d114908b1253a4eba0a84b5,13.640467062145165,0.015681308609266642,-364845.2937131619,0,4,111.2011636,4,818
105855.82290043948,0.46621046606139155,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,104733.626587493,-200000.0,-237578.06888501387,1.1965875781746556,-1122.1963129464857,sha256:49d44a75d63b184aff8dfc08a75b3906b6558702b204aa384f8700c35ed7cb47,20.41926747839565,-0.02610640324534827,-351214.4325213775,0,4,111.6225641,4,821
104338.25481019008,0.5509599679601718,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,104519.65146927,-200000.0,-237792.0440032369,1.1649946333832875,181.39665907992458,sha256:3f103e14c50cda9e30c1ba88ed2d876697315b03da5b6ad674c8ef1871c234a7,18.257525238761477,0.008929239736174023,-351428.4076396005,0,4,112.0441039,4,824
102290.40853120625,0.5350629975652987,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,87480.00366690708,-200000.0,-254831.6918055998,1.1554956890313444,-14810.40486429917,sha256:74769fc1a6077c4b6b791a609d412f5145aade9caee415374a37083f984c77b3,17.823137661714192,0.036929400232363525,-368468.0554419634,0,4,112.5853153,4,828
101912.29446722778,0.5365590873912446,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,101331.0057181624,-200000.0,-240980.6897543445,1.1797843192979838,-581.2887490653811,sha256:7a78c5f00c07c3a2da559dd96f977289b2c0ff5d07949d71661560b232c84626,19.420394400574448,0.011184584916752206,-354617.0533907081,0,4,112.7055888,4,829
100850.97288529646,0.4734355450544074,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,103516.95079604501,-200000.0,-238794.74467646188,1.161278680472351,2665.977910748552,sha256:44b87f4660cc6f929122d8c56bf353956e29108d7e0ba38eb080c32dd037042f,17.63010205019069,0.032093090363504405,-352431.1083128255,0,4,112.9868719,4,831
100374.59841143679,0.4615324734536717,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,95786.80125864391,-200000.0,-246524.89421386295,1.148931673075969,-4587.797152792875,sha256:67f20551b8618bc53c4a4aa29e22330d4a7f348e37163ef7b41b88dee332a564,13.93833986609899,-0.0008243294844466342,-360161.2578502266,0,4,113.1069704,4,832
93976.03676303312,0.3258249307340225,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,85253.63424070313,-200000.0,-257058.06123180373,1.150377713599835,-8722.402522329983,sha256:898fd32e90420e00447e7a41e6e24b292aab73c1f00c049571f01f5f9140e98a,8.705944399762771,0.10064246493460792,-370694.4248681674,0,4,114.8930741,4,845
93654.92582949086,0.35344110631488135,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,115539.76629992033,-200000.0,-226771.92917258656,1.1284542262233521,21884.840470429466,sha256:3ffd1ecb0688326d19d4dd4727d4503343e86ba34e0a0f495ad36685249b2aa0,12.132584879695237,0.016366920248885204,-340408.2928089502,0,4,115.0133489,4,846
88928.48230083549,0.4781116994048916,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,76989.52279538359,-200000.0,-265322.1726771233,1.210184217741108,-11938.959505451901,sha256:3d7d9abcdc574a1850c6b48af2bc0e93b31c42b044de779d8a0478112e55be69,18.804134776816607,0.011924403912422568,-378958.5363134869,0,4,116.3167042,4,856
86437.94581250382,0.5959002600079077,sha256:0a34974fc800f45c3c18b36bba5a282c840b0be2207eabcf8d49be2635a10867,92115.2137702782,-200000.0,-250196.4817022287,1.1833506637639448,5677.267957774384,sha256:b0f14f3fd8247415a07c711c84e13e3697be4653b71daaf4ad6e9e69deeec028,25.657115220344696,0.001177743568793986,-363832.8453385923,0,4,117.018386,4,861
