session_id,tracklet_id,channel,edge,start_s,end_s,span_s,leading_norad,training_rms_hz,heldout_rms_hz,heldout_rank,tau_s,concerns
scan-hop-031a0825dc751a64,sha256:1236327ab4090c9048bd2fc55e25114d9cfebc1a7f865c554fe137eaa5dabaaa,2,lower,106.124951088,134.230459774,28.105508685999993,66562,55.82372185837462,58.6643380996596,1,0.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:cb31b235d3392eda2276733d22e2cc560ec2af907cef28b88c90e9333e2fdd1d,4,lower,176.452871682,200.635922666,24.183050984000005,63502,34.89374062767292,84.39478365740865,1,0.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:6135da833b06f551b9566eb934abe9015a2da19589ed49951883908e0351b42e,3,lower,180.606325436,213.894398515,33.288073079000014,68674,34.99114394484309,211.89341378152918,1,0.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:33d1c1f981f4900d6e42ae2ce6d88ed8ac4eb2dc7b5fa53360fb1e2f0c976de1,3,upper,186.777034202,215.031727621,28.254693418999977,68674,42.698385596702174,293.74808330118856,1,0.0,radio drift fits as well or better
scan-hop-031a0825dc751a64,sha256:7566caaabd46983f7ba0d24efb61446f361a81e42578858fb5fc7e989685d16c,2,lower,189.294290215,217.555818791,28.261528576000018,66593,31.886479686109002,39.416001098691865,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:3a20e49a1c0f93005a10936b7ab20840f92cc9976eb16bee089fdc292745bb49,2,upper,190.427743758,232.833197556,42.405453797999996,66593,69.93710015077046,216.6764125210405,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:8429d57ca644eb3feaa641dc1f4d7bca67e200b8f28c695d42f5dee5018496fa,1,lower,207.198526054,230.437185767,23.238659712999976,66593,36.75210949907406,150.7381116813523,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:ddb5d4c5decb17d747584b20e9e635cf630648a2cf9d0d1fb2503d5ae4c23828,4,lower,209.727807229,233.966526411,24.238719181999983,66593,101.19192760062265,72.24960177245883,1,-3.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:62d8653a73ecae4ee63285e2357a202ebc037b179f33a240a718a9a6723752c0,4,upper,210.105141775,232.329199455,22.224057680000016,66593,78.46933177347938,191.56890741103987,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:be53d007ef5b805cbe671da32f1be4d1bba002ce3a85ae130ab2c9d68804c6cb,1,upper,210.357176165,230.563852037,20.206675872000005,66593,91.76494455881995,130.90802736077305,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:53b92fc8801c8e463d9594690007914a99cd328f5bb7b872b452d0b38278262b,4,upper,270.244943097,295.310350482,25.065407385000015,53690,37.03449108988542,80.13854334932398,1,1.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:30a31d7cc0c30ddb0ff2b1ca109a3443948d45ab02750fcd412f5063df9d9751,4,lower,231.952954636,253.735920942,21.78296630600002,66577,98.89160256572356,145.34510171208484,1,-1.0,radio drift fits as well or better; 500s control fits as well or better
scan-hop-031a0825dc751a64,sha256:969f5968fcafbc160ee4213eef177bfe3a41470b0dac832772f4817d932ff068,1,upper,82.05308681,105.871755141,23.818668330999998,63513,23.308127179190265,79.6643302514524,1,-2.0,passes descriptive checks; candidate only
scan-hop-031a0825dc751a64,sha256:441673e9c238b27fd33bd09668a9049f1d58ba4f7788bc462b3836e40a978f3e,1,lower,81.295749151,106.754417706,25.458668555000003,63513,24.03847283934237,83.82578889563163,1,-2.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:f1bc58c765b4cbfc962c5e64266eb5e241b3a8d25ea8b95b9438076f6be26c64,1,lower,6.708339603,32.528159203,25.819819600000002,52546,45.06047280326572,94.22036045119783,2,2.0,leader changes on heldout
scan-hop-99bee37023f62a10,sha256:eaa4e88ba3e8adeb688c232daddb0f9cc15527b0c35b155ccb76c9dd82d946ea,1,upper,8.724355444,31.899118194,23.17476275,66506,24.93560596456482,86.19323397643976,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:8d2cf87d255f8d6c9720242f81e5b31d1b10501c305c38a4973142da9c6ee33a,2,lower,16.664287649,51.556453574,34.892165925,69671,78.22068492831679,332.00048887145084,1,-3.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:452f02ca80a786f80274601db61f023dd361f29a99d9e194b560658b5e4f7b82,2,upper,16.922955665,48.405804575,31.482848909999998,69671,52.318999854395365,280.64483294334656,1,-3.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:401e333a54192e4a72da3773de639585c2e00c2b612488af7c8722ff87a27e42,2,lower,59.257716706,84.732922809,25.475206103000005,59401,97.28998942788432,206.9998758634579,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:c0fbd2a6f884144c72d2d564bc57880030776bc4c7a81bcc7273ba4e1ec4efde,2,upper,59.640386541,87.127611328,27.487224787000002,59401,58.77771875408094,224.71043362979128,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:163815586fdc6829615ce2eff26ab05675fb502a6362c39a02471c73cb689d83,4,lower,59.765529226,84.348736624,24.583207398,59401,59.26951750239918,162.94681558570994,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:891517851991d5251d9a44ca768a6dabf5bb23a6e323b98cc427795d5dc2d383,1,upper,65.954583941,87.001538232,21.046954291000006,59401,50.47074560193245,41.66699746346285,1,-2.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:88d53f8121041a5d1e766509f461b8b41d1b5050dc801f11c95222c9c48eec95,1,lower,66.460445421,86.624487631,20.16404220999999,59401,42.424425056865324,29.378041492574688,1,-2.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:99738e0871fb6d4e5fead0a642520119b7917c12ae6dff1d44e9fe4358605d15,2,upper,89.140365722,132.608469259,43.468103537000005,66559,62.90419119293694,176.37947015406132,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:95b562275b7e1d2db280d46aa55d464feefb248c80447bd9d9ec2ac063633220,1,lower,89.643809973,120.273847111,30.63003713799999,66559,46.77463899202,51.18108589939382,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:27b710890132df96ac393863de4fc9921d104c360341b426d6bc6ef86a588569,2,lower,89.769704738,127.572488189,37.802783450999996,66559,86.18159777805053,127.41858390635319,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:a4dbea3a399b56763209e8b7fcb7193771c3ed8a10a5c4b17aab9c248825f559,1,upper,90.021511809,123.671181037,33.64966922799999,66559,51.77824706871514,67.11818771173552,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:c16da5294d37085f70c3691644214c9bdc914c180cd18087dfb8c96d45be438b,2,lower,135.129825231,170.047267654,34.91744242299998,66624,84.12454655806242,65.69721291083727,1,-4.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:310f78a9d267cdda77d151cece7179292348f91afa97774632d29f59ce78d288,4,lower,172.694979844,201.763247589,29.068267745000014,66615,37.69996028880121,102.9764645282387,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:f0d295a401d6295fb43f7913fd7150c115f6fbf93b92f36d362369a3bdf0b577,4,upper,175.841832322,195.851232002,20.00939968,66615,54.84434681086394,66.60902590501462,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:55ecb2f30f8aa8132a169d523ec8bf69cb351e4b74fa665d7744f39160959481,2,upper,179.113071063,208.324666162,29.211595098999993,63447,53.090011059784324,30.713620866317275,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:577b121ef0652c5424fb79ed798cbcde4ef93cf6b81aefbfdd14e08224c1269a,2,lower,179.994397844,208.199333328,28.204935484000003,63447,60.116405799352,19.960485864219887,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:7d508a9586ba38e06fe82ce09bc3b20cd0d3ddccd926e28dce323561522f6bdf,3,upper,202.392466557,239.442785421,37.05031886399999,66576,78.27535424754093,181.55343234682343,1,0.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:6febf383bb9f491108d665b6d32630bca7a12fc1968f1808f71df8154656f9a6,3,lower,202.519004661,241.836571711,39.31756705000001,66576,94.00249917677579,205.2488115865086,1,0.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:3f93a22cebc7f1ebe01751a37835556f4af9d35fc126b9fbb9721c586c19cf12,1,lower,239.064576683,268.534897385,29.47032070200001,66501,104.39831408637525,37.44765773846636,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:8b8ca5c99d9db5f9fa821100b821f710fa981f66351296a08b654e1a11e6b25c,1,upper,239.947141323,268.283358562,28.33621723899998,66501,87.16289531848952,30.419851044503904,1,-1.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:d860211a88547557db0509a522eb4efebb1b67e500c362f4be83ef38448a397a,2,lower,246.373134809,281.512688346,35.13955353700001,69658,51.14594946418785,217.9609662290569,1,-2.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:31d65e18a8fc7c924e6de092341f0e1fa99ee98e1148626305896fb9e4edb036,4,upper,246.87560683,270.303364543,23.427757712999977,69658,117.15528707549953,46.887798575451946,1,-2.0,passes descriptive checks; candidate only
scan-hop-99bee37023f62a10,sha256:78dd8140fd75dc5e5fcd81dd2b5b1c90f5ad63816d9f96d0aa5ddda1cc1b5ef3,2,upper,247.251792721,274.082777339,26.83098461800003,69658,39.79003947139181,127.54573746185343,1,-2.0,passes descriptive checks; candidate only
