attempt_count,completed_at,created_at,error,id,kind,max_attempts,outcome,scheduled_for,started_at,state,updated_at
1,2026-08-23T09:28:45.652004+00:00,2026-08-23T09:27:00.236979+00:00,,1029,scheduled_recording,3,capture cap-20260823T092700-48effabd4369 committed,2026-08-23T09:27:00+00:00,2026-08-23T09:27:00.244932+00:00,succeeded,2026-08-23T09:28:45.652004+00:00
1,2026-08-23T09:29:47.60065+00:00,2026-08-23T09:28:45.655861+00:00,,1030,scanner_sweep,3,scan burst scan-burst-5bafff40fa1545d9 published; scans=4; active_edges=32,2026-08-23T09:27:00.000001+00:00,2026-08-23T09:28:45.661983+00:00,succeeded,2026-08-23T09:29:47.60065+00:00
1,2026-08-23T09:31:45.63069+00:00,2026-08-23T09:30:00.23338+00:00,,1031,scheduled_recording,3,capture cap-20260823T093000-8c791df0895a committed,2026-08-23T09:30:00+00:00,2026-08-23T09:30:00.24545+00:00,succeeded,2026-08-23T09:31:45.63069+00:00
1,2026-08-23T09:32:47.659181+00:00,2026-08-23T09:31:45.633718+00:00,,1032,scanner_sweep,3,scan burst scan-burst-a2b6e392f9ab4cd4 published; scans=4; active_edges=24,2026-08-23T09:30:00.000001+00:00,2026-08-23T09:31:45.63835+00:00,succeeded,2026-08-23T09:32:47.659181+00:00
1,2026-08-23T09:34:46.945732+00:00,2026-08-23T09:33:00.006703+00:00,,1033,scheduled_recording,3,capture cap-20260823T093300-d7b2a62549fe committed,2026-08-23T09:33:00+00:00,2026-08-23T09:33:00.018227+00:00,succeeded,2026-08-23T09:34:46.945732+00:00
1,2026-08-23T09:35:48.360648+00:00,2026-08-23T09:34:46.948347+00:00,,1034,scanner_sweep,3,scan burst scan-burst-b9ccefd6a59c441f published; scans=4; active_edges=19,2026-08-23T09:33:00.000001+00:00,2026-08-23T09:34:46.953583+00:00,succeeded,2026-08-23T09:35:48.360648+00:00
1,2026-08-23T09:37:52.464497+00:00,2026-08-23T09:36:00.240723+00:00,,1035,scheduled_recording,3,capture cap-20260823T093600-72ace7bf37ea committed,2026-08-23T09:36:00+00:00,2026-08-23T09:36:00.251523+00:00,succeeded,2026-08-23T09:37:52.464497+00:00
1,2026-08-23T09:38:53.458081+00:00,2026-08-23T09:37:52.471253+00:00,,1036,scanner_sweep,3,scan burst scan-burst-889593e193ea44d6 published; scans=4; active_edges=14,2026-08-23T09:36:00.000001+00:00,2026-08-23T09:37:52.47829+00:00,succeeded,2026-08-23T09:38:53.458081+00:00
1,2026-08-23T09:40:44.320641+00:00,2026-08-23T09:39:00.119669+00:00,,1037,scheduled_recording,3,capture cap-20260823T093900-39acaef247b6 committed,2026-08-23T09:39:00+00:00,2026-08-23T09:39:00.137264+00:00,succeeded,2026-08-23T09:40:44.320641+00:00
1,2026-08-23T09:41:46.035461+00:00,2026-08-23T09:40:44.328343+00:00,,1038,scanner_sweep,3,scan burst scan-burst-d6d38ffaf56e43e6 published; scans=4; active_edges=18,2026-08-23T09:39:00.000001+00:00,2026-08-23T09:40:44.336839+00:00,succeeded,2026-08-23T09:41:46.035461+00:00
