session_id,sample_rate_hz,visit_index,target_index,state,reason,accepted_observations,timing_sigma_ns,cfo_sigma_hz
scan-fw-10a906cc85830859,15000000,882,7,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,883,5,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,884,4,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,885,2,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,886,5,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,888,5,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,889,1,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,892,0,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,893,4,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,899,3,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,903,7,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,904,1,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,905,0,lost,no observation inside prediction gate,0,,
scan-fw-10a906cc85830859,15000000,908,7,acquiring,accepted PSS observation,1,673.5758620842715,200000.0
scan-fw-10a906cc85830859,15000000,920,3,acquiring,accepted PSS observation,1,904.9922172633209,200000.0
scan-fw-10a906cc85830859,15000000,941,3,acquiring,accepted PSS observation,2,783.0327553037831,142186.40923763122
scan-fw-12f09d2e4e1fe26a,15000000,855,3,acquiring,accepted PSS observation,1,614.2192204371817,200000.0
scan-fw-12f09d2e4e1fe26a,15000000,856,6,acquiring,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,857,4,acquiring,accepted PSS observation,1,1009.1528763586738,200000.0
scan-fw-12f09d2e4e1fe26a,15000000,858,2,acquiring,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,859,5,acquiring,accepted PSS observation,1,1044.3349828481582,200000.0
scan-fw-12f09d2e4e1fe26a,15000000,860,4,coasting,no observation inside prediction gate,1,4330.373704355778,200044.39105001453
scan-fw-12f09d2e4e1fe26a,15000000,861,6,acquiring,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,862,5,acquiring,accepted PSS observation,2,962.9804643393129,141436.99385104276
scan-fw-12f09d2e4e1fe26a,15000000,863,1,acquiring,accepted PSS observation,1,1016.5655102088582,200000.0
scan-fw-12f09d2e4e1fe26a,15000000,864,1,acquiring,accepted PSS observation,2,857.8705524212597,141423.10064574672
scan-fw-12f09d2e4e1fe26a,15000000,865,2,acquiring,no observation inside prediction gate,0,,
