case_id,source,comparison_scope,model,prior,scale_s,scan_count,reference_error_km,held_capped_rms_hz,held_uncapped_rms_hz,tau_s,tau_boundary_count,stopping_rule_satisfied,status
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,16,1.1743919814759234,313.412929960587,377.0017708269702,-1.0259200726212332,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,16,1.1895375807641069,313.4262353218194,377.0208684801871,-1.0298683900780234,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,79,1.3685253888669702,303.53323074398963,355.1156647100189,-0.9260265948999358,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,79,1.550811636745545,303.549931525481,355.23219533922406,-0.9656388535637603,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,79,1.557937540229507,303.5511742422973,355.23702003785695,-0.9671778539020714,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,79,1.3648595911069894,303.539865059375,355.1250443827965,-0.9239299559008332,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,79,1.560801533572187,303.5515169571354,355.23883810101114,-0.9653600086263742,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,79,1.567936925960315,303.5527720415956,355.2436632931931,-0.9668961497488012,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,0.2,1,9.034737567828962,307.3951978456454,318.7824100438157,,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,1.0,1,6.323525687341044,302.8528885734996,316.38880583893973,,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,5.0,1,5.963357462229899,302.71367516364245,316.5802019938331,,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,1,9.035152719738358,307.3965209481329,318.78410811420525,,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,1,6.323533468856346,302.8528944579276,316.3888090510433,,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,1,5.963364949545254,302.7136782254573,316.5802027855616,,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,0.2,6,6.124263430748203,311.147201849156,385.6925516445075,,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,1.0,6,2.602034164660057,302.536210242893,383.5106462407391,,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,5.0,6,2.2434959548851223,302.5910759700128,383.9871718054006,,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,6,6.124265551188339,311.1472168185012,385.69256932211624,,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,6,2.6020343736928058,302.53621078742566,383.510647013651,,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,6,2.2434965275672725,302.591071639424,383.987163739749,,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,0.2,16,3.2544184735866653,314.6144694692596,378.83029159721184,,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,1.0,16,1.359344662741436,307.0194445402915,373.7475003008204,,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,5.0,16,1.5366344702988906,307.06540815900587,373.7683900873585,,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,16,3.2544118815019187,314.614465608115,378.83029335110854,,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,16,1.3593438405176124,307.0194418336622,373.74749905368066,,0,True,completed
train_20260921_16_16,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,16,1.536626438468258,307.0654605033334,373.76842419723056,,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,0.2,79,4.2576246301131775,302.55767838605107,353.582895290736,,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,1.0,79,0.8864049042222427,294.6864117540891,348.1923257332151,,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,5.0,79,1.102133315809393,294.54211944303285,348.4057315048281,,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,79,4.245541570208076,302.5674549289797,353.6000257747548,,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,79,0.887255449724737,294.70514293547257,348.21243842667576,,0,True,completed
train_20260921_16_all,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,79,1.1068331481880394,294.5611967644575,348.42585667012054,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_baseline_epoch_fixed_id,sacramento,0.0,1,2.195368140506682,161.3468522246956,161.3468522246956,,0,True,completed
