sample_index,time_s,raw_phase_deg,compensated_common_band_phase_deg,raw_rx0_abs,raw_rx1_abs,common_rx0_abs,common_rx1_abs
73527,0.0294108,-152.646057129,-89.5131318244,38.2099456787,68.0073547363,50.032761324,49.0295494974
73528,0.0294112,61.8853416443,161.804861888,76.5506362915,12.529964447,75.648767127,25.1502167796
73529,0.0294116,42.9761619568,-114.060045808,96.3327636719,128.03515625,97.7340581159,91.3566516092
73530,0.029412,106.843505859,24.764308977,99.6242904663,84.0059509277,84.6563673967,129.11583402
73531,0.0294124,54.2986946106,177.647417372,59.5399017334,36.2353401184,89.5983301125,51.3039319317
73532,0.0294128,-16.4740066528,91.9100853729,61.4654388428,254.096450806,90.6119249289,205.387546892
73533,0.0294132,-171.389419556,60.54734368,174.183822632,89.2692489624,139.285488298,112.938406418
73534,0.0294136,-99.7948989868,-158.695822719,56.089214325,61.0982818604,80.9922334074,52.9899666248
73535,0.029414,26.4091796875,118.755725665,116.297042847,84.8115539551,80.9517163559,86.1638217527
73536,0.0294144,-54.7843704224,128.908340569,165.954818726,244.632385254,146.66039764,162.48807753
73537,0.0294148,-103.853942871,104.639714256,57.2800140381,121.103263855,105.223705733,172.519778419
73538,0.0294152,109.123908997,100.418861863,227.266357422,109.931800842,217.482202895,120.281080173
73539,0.0294156,-10.3790636063,95.7243826013,237.118103027,94.6414260864,224.63194901,111.896915732
73540,0.029416,-72.4895324707,-173.451554536,129.44883728,30.8868904114,113.634753762,50.3030956365
73541,0.0294164,-171.141616821,110.374260154,186.024200439,147.139389038,190.274112552,131.542306301
73542,0.0294168,138.458724976,131.642233797,98.7927093506,73.0821456909,105.025428608,86.5149184046
73543,0.0294172,44.7215080261,-170.290975862,29.2061634064,94.6414260864,15.1318545139,145.733774588
73544,0.0294176,-120.800727844,75.543959805,52.3545608521,176.139144897,53.6920447383,108.604313184
73545,0.029418,-86.3153839111,-168.121877206,127.487258911,59.8080253601,92.5801906539,57.0221456395
73546,0.0294184,-148.0128479,-153.113039974,70.7106781006,141.226760864,73.4222683723,88.626512696
73547,0.0294188,-105.448226929,91.0802648754,141.198440552,53.8144989014,56.3520879821,84.6221219974
73548,0.0294192,156.399902344,45.465036041,88.5663604736,222.575836182,150.105406164,192.37811434
73549,0.0294196,36.6259651184,35.081789603,196.725692749,239.033477783,127.417594798,221.80543872
