start_sample,stop_sample_exclusive,center_time_s,most_likely_rx1_minus_rx0_phase_deg,coherence_magnitude,minimum_normalized_prediction_error,conditional_phase_jackknife_se_deg,inside_paired_glrt_probe
88750,93750,0.0364998,106.048934667,0.219435228837,0.975627070322,3.64345660178,1
90000,95000,0.0369998,103.926375956,0.221274996761,0.975211451844,2.58281550788,1
91250,96250,0.0374998,100.709249743,0.219002811837,0.975724227642,3.77505251685,1
92500,97500,0.0379998,99.9416120634,0.20834625569,0.978055130215,1.95786473479,1
93750,98750,0.0384998,99.6316347568,0.209771350816,0.977750469382,3.22860609643,1
95000,100000,0.0389998,98.2132765268,0.197895335839,0.980223156252,2.72376917544,1
96250,101250,0.0394998,103.458324866,0.190102561212,0.981764236576,3.08623158556,1
97500,102500,0.0399998,107.043167698,0.193580742501,0.981084347104,4.65361061085,1
98750,103750,0.0404998,110.535572892,0.191831104782,0.981427953157,2.83436792532,1
100000,105000,0.0409998,114.73018453,0.207097641496,0.978320278276,2.34024259817,1
101250,106250,0.0414998,115.402511376,0.213915363204,0.976852198332,2.60850809603,1
102500,107500,0.0419998,113.927239712,0.207014613321,0.978337850577,3.92432426843,1
103750,108750,0.0424998,115.616642615,0.208392055678,0.978045372736,2.72624365233,1
105000,110000,0.0429998,116.597803683,0.201082842633,0.97957423935,4.28595837331,1
106250,111250,0.0434998,117.766442968,0.198351519936,0.980130947649,3.63308804865,1
107500,112500,0.0439998,121.355993926,0.200930418599,0.979605515951,3.18232366807,1
108750,113750,0.0444998,123.138279177,0.199290100811,0.979940536828,2.79926756415,1
110000,115000,0.0449998,124.45129433,0.203059051112,0.979166493382,2.48585435202,1
111250,116250,0.0454998,124.663657123,0.200885089908,0.979614812389,2.41812786227,1
112500,117500,0.0459998,122.508200307,0.213643738224,0.976911640384,2.14612367654,1
113750,118750,0.0464998,117.977928312,0.216771789919,0.976222306186,3.42779121781,1
115000,120000,0.0469998,114.914586522,0.21297920386,0.977056732602,3.25468237887,1
116250,121250,0.0474998,114.560200541,0.219429737155,0.975628305479,3.20460074702,1
117500,122500,0.0479998,113.144894069,0.220156498398,0.975464564304,3.25115650257,1
118750,123750,0.0484998,118.299189961,0.204668375728,0.978831372595,3.79905004827,1
120000,125000,0.0489998,119.369135243,0.199239066661,0.979950914238,3.51292678661,1
121250,126250,0.0494998,117.747031685,0.201343518837,0.979520692697,3.19942586563,1
122500,127500,0.0499998,121.510529905,0.19745133599,0.980312689868,3.41520962648,1
123750,128750,0.0504998,116.757701244,0.203879515135,0.978995987381,4.35151633339,1
125000,130000,0.0509998,117.242320273,0.206047109628,0.978542072991,2.96446136209,1
126250,131250,0.0514998,120.04158497,0.194883211083,0.980826454597,4.91209203269,1
127500,132500,0.0519998,120.664753584,0.194947393739,0.980813699779,3.4235049902,1
128750,133750,0.0524998,125.364704199,0.19965772747,0.979865700931,2.42696757886,1
130000,135000,0.0529998,126.547723401,0.214615603905,0.976698593508,2.13675075814,1
131250,136250,0.0534998,124.21258601,0.222756491585,0.974874117749,2.34782818505,1
132500,137500,0.0539998,128.529871585,0.22369793177,0.974658522418,2.89430735649,1
133750,138750,0.0544998,129.286368625,0.223939432116,0.974603063172,3.62681056479,1
135000,140000,0.0549998,132.5438204,0.204084744598,0.978953225145,3.66990148135,1
136250,141250,0.0554998,137.627752762,0.186492979194,0.982456293537,3.13490362296,1
137500,142500,0.0559998,140.178451131,0.181876273636,0.98332142308,4.36924543617,1
138750,143750,0.0564998,145.765910158,0.184957247153,0.982746567903,3.44968135163,1
140000,145000,0.0569998,150.14353234,0.18317884438,0.983079605613,3.18365294335,1
141250,146250,0.0574998,151.298840831,0.191414876756,0.981509217968,1.77258956587,1
142500,147500,0.0579998,147.449341197,0.189849048,0.9818132913,3.89954574317,1
143750,148750,0.0584998,143.835631163,0.182731827371,0.983162793878,3.56407147942,1
145000,150000,0.0589998,138.692013978,0.188378188965,0.982096562423,3.3719541167,1
146250,151250,0.0594998,137.404915023,0.197597408359,0.98028325713,2.88439507239,1
147500,152500,0.0599998,137.608250106,0.2104625182,0.977601927388,1.95386087372,1
148750,153750,0.0604998,137.597139422,0.215980804697,0.976397609584,3.42393946067,1
150000,155000,0.0609998,141.701484835,0.223808914077,0.974633043755,3.15008422974,1
151250,156250,0.0614998,147.779994678,0.21824653925,0.975893666393,4.83972497239,1
152500,157500,0.0619998,154.995459532,0.206938239785,0.978354007972,5.87244736463,1
153750,158750,0.0624998,164.236662908,0.207086809403,0.978322571227,3.8550632156,1
155000,160000,0.0629998,166.894455289,0.202021965807,0.979380990898,4.39219716599,1
156250,161250,0.0634998,163.732131199,0.202725044877,0.979235700013,4.18836781851,1
157500,162500,0.0639998,160.801007424,0.198011727745,0.980199650926,4.351811394,1
158750,163750,0.0644998,158.6835269,0.197883831557,0.980225478759,3.52412489856,1
160000,165000,0.0649998,159.666705395,0.210735184127,0.977543186857,3.71661942669,1
161250,166250,0.0654998,159.830617167,0.215206545959,0.97656855498,3.31180063346,1
162500,167500,0.0659998,159.699737444,0.217812804579,0.975990564586,3.39231077299,1
163750,168750,0.0664998,158.135860248,0.219648031139,0.975579183058,3.1762721541,1
165000,170000,0.0669998,160.923474282,0.206903595959,0.97836133508,2.96153032642,1
166250,171250,0.0674998,163.173871125,0.208720395447,0.977975355786,4.55335997782,1
