current_center_phase_samples,current_crossfit_frame_rms_ns,current_frame_residual_mad_ns,current_split_even_odd_difference_ns,frame_count,glrt_cfo_hz,prior_pss_cfo_hz,time_s,track_rank,visit_index,wide_10mhz_center_phase_samples,wide_10mhz_crossfit_frame_rms_ns,wide_10mhz_frame_residual_mad_ns,wide_10mhz_grid_edge_count,wide_10mhz_split_even_odd_difference_ns,wide_2.5mhz_center_phase_samples,wide_2.5mhz_crossfit_frame_rms_ns,wide_2.5mhz_frame_residual_mad_ns,wide_2.5mhz_grid_edge_count,wide_2.5mhz_split_even_odd_difference_ns,wide_5mhz_center_phase_samples,wide_5mhz_crossfit_frame_rms_ns,wide_5mhz_frame_residual_mad_ns,wide_5mhz_grid_edge_count,wide_5mhz_split_even_odd_difference_ns,wide_base_cfo_hz,wide_phase_residual_rms_cycles,wide_slope_sigma_hz
1800.4810992532482,904.1894785980876,414.0508887139412,7.404293319814315,90,113841.42529065431,-337528.819751545,109.4163005,4,805,1800.5002801739363,904.5778839201938,417.06997003871396,0,12.702470561453083,1800.5271073524384,924.4810434317794,415.9659732314319,49,29.90963085167095,1800.5306156185018,911.763859895482,395.220604643218,19,14.097084326294862,-200012.93117631995,0.6655852451622194,1.9359434742574966
1800.4413020708705,1041.5012635286525,425.7415802481388,-506.3283884484008,90,113405.20145935386,-341135.985946264,109.5370892,4,806,1800.4191311583206,1044.5344521014597,424.31515808560954,0,-502.2270449372627,1800.3031942550772,1045.9110172374644,425.88288744780505,50,-499.9023016551291,1800.393010187687,1046.2418665146815,408.5930846406561,22,-497.21129205381663,-200014.85253492492,0.6695083060503879,2.0120540479378564
1805.2524422829642,965.5916705436485,547.180484435442,192.03570799863883,90,111415.3352907056,-344989.5563200554,110.0782864,4,810,1805.2467136483863,963.0082441889192,546.0741225997127,0,193.2047822480854,1805.3602939611917,961.843977385047,563.4991282060405,47,196.85734057202353,1805.3020586424666,961.6470717530011,541.8465006063957,26,191.9583894376956,-199987.64677890748,0.4746092353478516,1.349186130828065
1806.294862627552,869.7313196034546,388.8533176211225,-45.47350578386613,90,109944.46076383848,-342692.1384470513,110.4995449,4,813,1806.287058369471,872.4233982977731,390.0437181118848,0,-47.0622919428024,1806.4544217987072,880.0111514286305,395.5735086668534,43,-45.55820007662987,1806.2757994249973,873.8238950615773,431.40458387425895,23,-56.896572199730144,-200028.06782794115,0.7745925522756609,2.175357813379819
1808.8749929525782,891.1725817081007,468.60531187699314,214.54654735798613,90,108882.9855259419,-349285.92537970014,110.780159,4,815,1808.9321880534542,886.012810018799,498.26604008942996,0,204.19828132571638,1808.9813908739613,889.6178836750921,502.8769496661584,51,203.5441737387373,1808.9304916466979,885.4083949229412,499.85202564323725,22,214.3463186531335,-200014.231372315,0.5329070726672704,1.5668118460866072
1809.0513674966435,910.2313889329527,450.6208642703998,-56.559822982399055,90,107335.41670526894,-364845.2937131619,111.2011636,4,818,1809.0757441423596,910.1019668367551,441.16661809107364,0,-55.4187724035728,1809.054476980704,912.8350034531762,448.71805231731946,48,-72.43089333796888,1809.1385676196253,916.7519067591048,443.2301358558416,18,-89.45294008080964,-199984.2106263359,0.6747566935409057,1.9970540052243746
1810.083126250355,720.8565683574287,95.84356251120727,7.082454328246968,90,105855.82290043948,-351214.4325213775,111.6225641,4,821,1810.088999437485,720.3078256098269,80.11848207970144,0,-1.3389763945269806,1810.1979464057963,717.4742668196162,131.69169654859397,45,26.898616271228093,1810.015438809663,724.5673225168124,103.10684592336857,13,2.084855017164955,-200009.31172788964,0.6065227094062015,1.7689592667122362
1810.6489489322337,904.2562175726913,247.11926045317375,239.92769394535574,90,104338.25481019008,-351428.4076396005,112.0441039,4,824,1810.6239067880142,905.8148084617094,266.569853252648,0,239.54395919799936,1810.6798435386584,909.2931123026013,239.29376532660845,41,229.8677433359444,1810.7190734299388,893.4014458560669,227.70174720913374,12,213.71675784475883,-200008.80382158005,0.49413108181141335,1.4086060255269603
1810.0005956913956,792.7292016319664,411.4316800499721,122.75022021412953,90,102290.40853120625,-368468.0554419634,112.5853153,4,828,1810.005066598699,791.5396518015198,417.536990945202,0,119.47182151261586,1810.001744408534,790.0317642654198,432.0404509011107,50,122.95926704700831,1809.9449776399051,795.8327727684593,425.6867262326692,25,130.8247196139746,-200010.4042193221,0.643834293564584,1.9415628819522999
1809.4998581472266,855.7869493358444,456.4799117419306,94.94255716845146,90,101912.29446722778,-354617.0533907081,112.7055888,4,829,1809.4822698636215,861.1240913146579,470.24305809192487,0,104.68871015136756,1809.395241970171,852.8241358022684,449.466087842297,40,58.51460727781159,1809.4930851352185,863.0416488533994,470.68540911387373,19,115.00778180370617,-199977.65446763934,0.5385309244643933,1.6129566501751746
