session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,rx0_stored_id,rx1_stored_id,joint_best_id,joint_runner_id,joint_best_train_rms_hz,joint_best_evaluation_rms_hz,joint_runner_train_rms_hz,joint_runner_evaluation_rms_hz,shared_tau_s,later_session,rx0_geometry,rx1_geometry,geometry_evidence,identity_claimed,geometry_rejects_candidate
scan-hop-1b83fb54ac5af24b,sha256:5bf0a9eb0d0e5094650f2c884400fe9687cc51e9a1c67ad93eef09570aa9596c,sha256:c7e6ca44135747d6babbac503ea5e56c2c2e914f3bf9bfb0537fb82270e751c8,same-leader,66499,66499,66499,67903,115.68351082220379,154.85495133183636,2219.499107994707,2383.869638320718,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1b83fb54ac5af24b,sha256:645e5827194d9ab23dc08e8b425b44fa1e3e630abe67bd690e50b0f2c35adba6,sha256:09fba236273477e55a698c9896c94359eef4b46996fe2636b9f8f5792bbb8b9f,same-leader,66516,66516,66516,66510,61.408881642487486,51.00108013128938,107.58199434344907,133.69786805972217,-2.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1b83fb54ac5af24b,sha256:852ccd5878eb8e479da5bb88ae4384f14192c08427438e8adce8c117196f0a2f,sha256:f313418313a3a75351781f6f707e6c2786b3e7231a10007577b2cf5a67b6635d,unreviewed-side,,66510,66510,66516,78.62726909029125,128.81387321836635,142.15550303175445,188.19002372369036,-1.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1b83fb54ac5af24b,sha256:8b0726a86b90f3fdc7b8b1f76e40ce54c5f5a9166c8e0286488952dbe15f84c7,sha256:bbd3b2079a934109ce09f7ed075c41746d8254be69be388996e863e1c84194e3,same-leader,64811,64811,64811,55488,69.0137701461659,73.81679899459502,758.1993657115141,1267.7912102609,0.0,False,unsupported,supports-joint-runner,supports-joint-runner,False,False
scan-hop-1b83fb54ac5af24b,sha256:9cac44a2194716e20c74e4fd8e34b02e7fe2885e72d2c9f5b3a6d0c5a44e3435,sha256:d0115f4c75f0e8bf40855b417f2fdcfe267c2594f11683afb641b5f51597a8b7,unreviewed-side,61927,,61927,68071,1219.108864585031,827.8842155188204,1432.060054870362,816.1282344176069,-5.0,False,uncertain,unsupported,unsupported-or-uncertain,False,False
scan-hop-1b83fb54ac5af24b,sha256:bd241efa677644dfa892650b2a63bd3ee4e4c83e38bafb747a73e5d65aa9deaa,sha256:cd38cbafc7d408de3873278e79975f8553433b81708a6d24b38b367d7add858d,unreviewed-side,,66557,66557,63095,43.56484079728396,48.46453010248425,207.0609365666809,241.93149711637432,-1.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1bec690f93ce0b1e,sha256:0d17bba4a55969e29994ab2219835967216dfbd48abbe225866aefe93368f42d,sha256:0a0d1af3eb7995817578b1fb8d13dc90e1a22f602750f88b9a630b23e9d10572,same-leader,58547,58547,58547,58113,81.04297945535632,97.42400650189444,214.48289580622213,178.6856594676157,-1.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-1bec690f93ce0b1e,sha256:0e1776b8ebd8841389946d18703048f97f8e7b48d2b384640466d029b5da7134,sha256:e5d8f241dd54d347dc7723fffe4317a63c5259c398a09a858db7ea8de9f894f4,same-leader,59498,59498,59498,67822,107.53653692448282,99.79265425092959,331.38097076356615,359.8383993955055,4.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1bec690f93ce0b1e,sha256:3d693955fff43a14888bfa918825c2bae3c974e67466426d2a0c87ae3564c3a7,sha256:e268dfdf404001981fab1bf4334e385911f642a0ff7babd4a479c35c87cef9d5,same-leader,65368,65368,65368,60267,99.24862974854769,153.0685576843141,1988.9821782414372,1957.1376731775656,-2.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-1bec690f93ce0b1e,sha256:3f146d625fbdc9b1ef49e7fb09dc20af96970fac865197981d2cf0e764aa6588,sha256:6689bebaccec638c19d7e79a3da03f0de1da857aebc96717aebe006577d66317,same-leader,67699,67699,67699,54776,57.33082753507207,86.97639118143013,2207.4037101596864,3049.0127274963875,-2.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
