joint_state,session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,distinct_paired_visits,rx0_stored_top_id,rx1_stored_top_id,joint_best_number,joint_runner_up_number,joint_train_leader_persisted,joint_best_eval_rms_hz,joint_runner_eval_rms_hz,rx0_individual_best,rx1_individual_best
scored,scan-hop-179a743995ae3a68,sha256:521b532c0869fe8a82fe36daf4854ede6c7a95a6ce790efeb496f2cd51623d6f,sha256:e75da2e1c41a540fe6af022e1a194777ad962074f6a731a3a8b39f47878c2aa6,unreviewed-side,4,,52480,52480,59004,True,1132.9997504924847,1402.0610568237755,52480,59004
scored,scan-hop-179a743995ae3a68,sha256:69cb66e1454f644b21cfd32a851c416c133a0aa1ccacdd73433858b0b1cc1235,sha256:7c1ddc943192da386b70fa0956a43a9fe5f46922e6fde280c10d82af7abd4019,same-leader,5,62312,62312,62312,48471,True,105.20199731756536,663.6601136323936,62312,62312
scored,scan-hop-179a743995ae3a68,sha256:79e8d4c980f4617e36453b06eb29510860ee67a2707dfb49c46c3ac8c53661ab,sha256:5d0989dbb189f9de4b532a881341d2f8dc13bd6e0932144145b1f9db9ffbca9d,same-leader,16,66466,66466,66466,59571,True,134.43113278689265,533.8573530867503,66466,66466
scored,scan-hop-179a743995ae3a68,sha256:c736c99785dfe296a7add1212fc55bd2ca052f7b0917840955eb45a0469cb3f5,sha256:e825c1ec055bb41b40c28bbf92ff6100885ff660e0303f3827ed49edf9ece44c,same-leader,15,68018,68018,68018,100636,True,122.66844155367941,3627.329226187072,68018,68018
scored,scan-hop-179a743995ae3a68,sha256:cd87c249532c98a4d2871ce90cd9000710b2d893bf66ac2482c91c5002573507,sha256:eded33ef845ef0be0a56f982509f1ea91fde6e483f8f5d075a6e7680c0266fda,same-leader,10,63650,63650,63650,64445,True,119.09881192347147,1175.0898526169913,63650,63650
scored,scan-hop-179a743995ae3a68,sha256:ef604f7a4190a91c8eaeaf904a33b3a44d8d3e60022ee8f2077d1dd4cbed3d08,sha256:ae964e7f248e37c72d5ecc87c958f7defe3ee97450ca4408104ec78dcb8d593f,same-leader,8,100295,100295,100295,100617,True,1634.7181747639802,1968.3068778111274,100295,100295
scored,scan-hop-1a3679fc1c9fd7bf,sha256:45ff882eae495023d2836f9a1647d03bd097d05713373af55c71715c7b5d2354,sha256:dd56ba6ada51f11e2ecbe50e04b8394c6211de63e532a98660349a9ca7e26576,same-leader,10,62893,62893,62893,64210,True,249.6541439753609,1546.3281400924634,62893,62893
scored,scan-hop-1a3679fc1c9fd7bf,sha256:7623d56870375043dd2c298385b910a230eae17bc2350bd60cdf43992c27dce4,sha256:7f9f43deb3253b33c54ea98911a53be6952ecf043de7a76f0ea64422ed1eba35,unreviewed-side,6,,63481,63481,55453,True,116.19040574169087,192.68559727858965,55453,63481
scored,scan-hop-1a3679fc1c9fd7bf,sha256:83cf627b98114bb7f50659775676f29893d1d148842a5ffe9f14e3bad1fedf14,sha256:aaebeea9ff68907e3c59ce357fdcdf8ca19375fe77c40cbaef4d8fc0cf8745d4,same-leader,20,59353,59353,59353,52851,True,111.00164618912021,2362.820722295356,59353,59353
scored,scan-hop-1a3679fc1c9fd7bf,sha256:b164ecdb4ea1ce3094885421a2da22567aeafffab94250127441467debce6474,sha256:24afa1dfa15cd0c4f44360c85f9f972db96f7cc3e9c96cde0fa84d5e96fe7c49,unreviewed-side,6,,65202,65202,63487,True,532.2278718570584,710.3319207675667,63487,65202
scored,scan-hop-1a3679fc1c9fd7bf,sha256:beb1d36b913907dfa4949db4656c533f926fa938b6faa157ab6b9cf2bd85dd73,sha256:00e207f585970baaea725ff2259ca17e9ab421ee442d88c80401daf77aab79fc,same-leader,17,67320,67320,67320,62220,True,118.16294669441955,1165.8330741110099,67320,67320
scored,scan-hop-1b83fb54ac5af24b,sha256:0a9a492e22f8ef757204ee0747f68d0c96d098627c1881045f1c1ab6e1d7be9b,sha256:6381b3cb0de270331d53c6847003d3891cf21efae2ed4ec0bf5ca7f11b4bac0d,same-leader,25,59837,59837,59837,62505,True,77.07601965329783,612.9352022449104,59837,59837
